Mike Pence has failed he is the head of the White House Coronavirus task force he has a lot to answer for. #VPDebate,2020-10-08 01:08:54,Twitter for iPhone,21,50,corona; 
My QAnon-supporting Republican opponent believes wearing a mask to prevent the coronavirus is ridiculous. She asks "What's the point of a mask?"  Donate to my campaign today by clicking https://t.co/5UsWYx6QXZ and sending a strong message.,2020-10-02 16:07:22,TweetDeck,5,12,corona; 
✓132k Americans dead from COVID-19 ✓Almost 3 million confirmed US COVID-19 cases ✓Over 14 million Americans out of work ✓Russia is alleged to be paying bounties on American soldiers  ✓Gun violence increasing nationwide  But this morning 45 decides to blow racist dog whistles https://t.co/eh2gsWzngn,2020-07-06 13:44:02,Twitter Web App,56,97,covid; 
I wish you a great Fourth of July weekend. The CDC is advising Americans to be particularly cautious ahead of the holiday weekend and cautioned Americans to be especially vigilant about adhering to #coronavirus safety guidelines. #FourthofJulyWeekend2020 #IndependenceDay2020,2020-07-03 12:12:08,TweetDeck,4,6,corona; 
He is lying @realDonaldTrump is in court trying to overturn the Affordable Care Act and strip millions of their health coverage. He wants to green-light insurance companies’ ability to drop coverage for people with preexisting conditions – including complications from COVID-19! https://t.co/hkNzhs6eoL,2020-06-27 13:58:54,Twitter Web App,27,31,covid; 
“It’s critical that the Senate immediately take up the HEROES Act which would provide additional resources and culturally competent public health information to help slow the spread and impact of COVID19 in communities of color” . . . https://t.co/HljG7ph5ml,2020-06-11 02:03:23,Twitter Web App,7,6,covid; 
Today's update (Tuesday May 26) on the #coronavirus crisis in the state of Illinois with @GovPritzker. Dr. Ngozi Ezike Director of the Illinois Department of Public Health (@IDPH) will also join the briefing. #COVID19 https://t.co/qLygcpRG8F,2020-05-26 19:45:21,Twitter Web App,4,4,covid; corona; 
Communities of color continue to be hit hardest by the #coronavirus. @CDCgov is required by law to report areas where there are "disproportionate death rates" in #COVID19.   The CDC issued a "pitiful" 2 1/2 page report that did not report any new data. https://t.co/kdcQZR5qt5,2020-05-24 15:19:07,TweetDeck,10,9,covid; corona; 
Today's update (Thursday May 21) on the #coronavirus crisis in the state of Illinois with @GovPritzker. Dr. Ngozi Ezike Director of the Illinois Department of Public Health (@IDPH) will also join the briefing. #COVID19 https://t.co/Blcgh4JBGV,2020-05-21 19:38:09,Twitter Web App,1,1,covid; corona; 
Today's update (Wednesday May 20) on the #coronavirus crisis in the state of Illinois with @GovPritzker. #COVID19 https://t.co/GLeN2cG84J,2020-05-20 19:36:00,Twitter Web App,4,3,covid; corona; 
This past Tuesday I joined the @ChiTreasurer @susanamendoza10 and @OperationHOPE founder @johnhopebryant to discuss and answer your questions about where to find the resources you need to financially weather the COVID-19 pandemic. https://t.co/loaH3TknI1,2020-05-18 23:00:00,TweetDeck,2,4,covid; 
