We’re potentially one big step closer to defeating COVID.  https://t.co/mLZLFrV2ZD,2020-11-28 15:01:15,Twitter for iPhone,4,14,covid; 
🚨BIG NEWS🚨  "Pfizer said Friday it is asking U.S. regulators to allow emergency use of its COVID-19 vaccine starting the clock on a process that could bring limited first shots as early as next month and eventually an end to the pandemic [...]"  https://t.co/IgLr14vrwH,2020-11-20 18:05:37,Twitter Web App,2,4,covid; 
We continue to learn more about how to treat COVID patients and save lives.  Here is another positive development from #OperationWarpSpeed regarding therapeutics:  https://t.co/KSCrU0Iwh6,2020-11-19 23:59:31,Twitter Web App,2,6,covid; 
We're getting close to a COVID-19 vaccine!  "The companies said that they plan to submit to the Food and Drug Administration for an emergency use authorization “within days” and will also submit to regulatory agencies around the globe."  https://t.co/lQwZDT5fdc,2020-11-18 18:49:37,Twitter Web App,1,7,covid; 
"The agency cleared the single-use test which provides results within 30 minutes for use by anyone aged 14 and over if their health-care provider suspects they may have Covid-19."  #OperationWarpSpeed   https://t.co/epi3rRIdJl,2020-11-18 14:49:01,Twitter Web App,4,13,covid; 
ICYMI: "Roughly 20 million people could be vaccinated against the coronavirus in December the head of the Trump administration's vaccine and drug accelerator said Friday."  #OperationWarpSpeed  https://t.co/InWWRB0I6t,2020-11-16 17:21:20,Twitter Web App,1,5,corona; 
🚨More encouraging news from #OperationWarpSpeed:   “Mod­erna Inc. said its ex­per­i­men­tal coro­n­avirus vac­cine was 94.5% ef­fec­tive at pro­tect­ing peo­ple from Covid-19 in an early look at piv­otal study re­sults [...]”  https://t.co/34bDJYGoda,2020-11-16 12:40:32,Twitter for iPhone,110,535,covid; 
"Eli Lilly &amp; Co.’s antibody therapy was granted an emergency-use authorization by U.S. drug regulators for treating Covid-19 widening access to a treatment that early data suggest is effective [...]"  #OperationWarpSpeed   https://t.co/Ke0fYlia6J,2020-11-10 15:07:47,Twitter Web App,3,11,covid; 
"The chief operating officer of #OperationWarpSpeed the federal government’s project to develop a COVID-19 vaccine said Tuesday he thinks about his own family in giving his assurances that any such vaccine will be safe. "  https://t.co/f1LyMnBupp,2020-10-28 19:30:09,Twitter Web App,1,3,covid; 
.@CBSNews: U.S. official leading COVID-19 vaccine distribution says "no shortcuts" are being taken on safety  #OperationWarpSpeed   https://t.co/gA3AWZQNMq,2020-10-28 19:23:31,Twitter Web App,24,76,covid; 
Proud to lead this effort with my colleagues @MikeKellyPA &amp; @RepLaHood to help parents who are working to overcome challenges during the COVID-19 outbreak. https://t.co/wI4qSLZd2s,2020-10-27 19:57:22,Twitter Web App,3,7,covid; 
“The Trump administration this week will announce a plan to cover the out-of-pocket costs of Covid-19 vaccines for millions of Americans who receive Medicare or Medicaid said four people with knowledge of the pending announcement.”  #OperationWarpSpeed   https://t.co/mOT6McWttq,2020-10-27 13:08:50,Twitter for iPhone,2,12,covid; 
“…it is now highly credible that OWS will have produced up to 100 million doses of safe and effective COVID-19 vaccine doses made in America by the end of 2020..."  Great op-ed by @SecAzar on #OperationWarpSpeed   https://t.co/H2ltZUTZVp,2020-10-23 20:20:23,Twitter Web App,48,125,covid; 
BIG PICTURE: #OperationWarpSpeed is working!   We've developed effective therapeutics to treat many COVID-19 patients and continue making progress on new treatment options.  However it's important that we continue physical distancing and wearing masks when necessary. https://t.co/hyyeHQHdor,2020-10-21 15:39:01,Twitter Web App,136,546,covid; 
“The progress has been pretty amazing” said Deborah Fuller a microbiologist at the University of Washington who is working on second generation vaccines for the novel coronavirus.  #OperationWarpSpeed  https://t.co/AXFWw38R5B,2020-10-21 15:24:03,Twitter Web App,2,4,corona; 
The @gopdoccaucus condemns Governor Andrew Cuomo's anti-COVID vaccine statements in his interview with @ABC: https://t.co/inG3KNZhWn,2020-10-20 00:24:50,Twitter Web App,302,670,covid; 
Trump Admin Partners with CVS Walgreens to Provide COVID-19 Vaccine in Long-Term Care Facilities  #OperationWarpSpeed  https://t.co/ZHTcjPmnve,2020-10-16 20:19:14,Twitter Web App,590,1579,covid; 
MUST READ: "Moncef Slaoui explains how a public-private partnership is overcoming technical and bureaucratic obstacles to find a way of inoculating against Covid."  #OperationWarpSpeed  https://t.co/g0jm2d6gAt,2020-10-14 16:30:05,Twitter Web App,6,14,covid; 
❌MYTH: The COVID-19 vaccine may be distributed without FDA approval  ✅FACT: The vaccine will only be distributed after undergoing every stage of research and trials that every other vaccine has gone through https://t.co/lQODQDfoIP,2020-10-09 16:30:58,Twitter Media Studio,6,13,covid; 
❌MYTH: The federal government will force you to take the COVID-19 vaccine  ✅FACT: The government does not have federally mandatory vaccinations and this one will be no different https://t.co/QS6YRA9v44,2020-10-08 16:39:03,Twitter Media Studio,9,36,covid; 
Monica and I are praying for @realDonaldTrump &amp; @FLOTUS. May God grant them and all those affected by this coronavirus strength and a quick recovery. https://t.co/TLQQITQAfl,2020-10-02 14:09:31,Twitter Web App,15,63,corona; 
"Biotech company Moderna announced on Tuesday that its coronavirus vaccine candidate elicited immune responses in older adults from a Phase 1 study in levels comparable to those seen in younger adults."   #OperationWarpSpeed  https://t.co/dGuUL1Ak2Z,2020-09-30 20:29:50,Twitter Web App,1,1,corona; 
Glad to see @RodneyDavis leading by example! Convalescent plasma donations are still very important. If you've recovered from #COVID19 you can help save lives.  More info: https://t.co/VPq4YGYd4g https://t.co/UKT4ncK34A,2020-09-29 15:57:00,Twitter Web App,3,7,covid; 
Joined my @HouseGOP colleagues on a virtual tour of @NIH for an update on #OperationWarpSpeed this morning.   The 𝗸𝗲𝘆 𝘁𝗼 𝗿𝗲𝘀𝘁𝗼𝗿𝗶𝗻𝗴 𝗼𝘂𝗿 𝘄𝗮𝘆 𝗼𝗳 𝗹𝗶𝗳𝗲 is producing safe and effective vaccines and treatments for COVID-19. #CommitmentToAmerica https://t.co/0ucxMd4TeC,2020-09-25 14:11:28,Twitter Web App,54,176,covid; 
"The Gaithersburg Md. company said the pivotal Phase 3 trial in the U.K. would track whether adults receiving its two-dose vaccine experience a lower rate of symptomatic Covid-19 compared with study subjects who get a placebo."  #OperationWarpSpeed   https://t.co/JInEn7CRGa,2020-09-24 22:14:45,Twitter Web App,2,1,covid; 
