It's been an honor to serve alongside Democratic Whip @ClyburnSC06 in the fight against the coronavirus. He's here virtually to remind us that the best day to vote is today and that this may be the most important election in 150 years. Take it from him - he knows his history. https://t.co/DSmPfoNtbR,2020-10-27 15:43:25,Twitter Media Studio,5,26,corona; 
No matter what happens on Nov 3rd can we all promise that when Mike Pence runs for president in 2024 we not forget that he ran the Coronavirus task force that failed our nation?  https://t.co/atvXOgiPqe,2020-10-26 11:59:23,Twitter for iPhone,48,231,corona; 
The @BurlcoTimes asked me recently what our community's greatest need is right now. I told them we need to address COVID-19 defend our health care and preexisting condition protections and rebuild our economy. Read my full answer here:  https://t.co/OZDSv5sx4m,2020-10-21 16:31:16,TweetDeck,34,64,covid; 
This week I had the chance to visit Ocean Health Initiatives and thank them for the incredible work they do. From providing affordable health care to those at all income levels to testing tens of thousands for COVID @ohinj has been a lifeline for our community. https://t.co/okPZ206K2x,2020-10-18 18:48:21,Twitter Web App,4,26,covid; 
"Use the coronavirus as a litmus test for leadership. Ask yourself: In this race who is responsible and who is the radical? Vote Andy Kim for Congress by far the safest choice."   Thank you @njdotcom for your endorsement.   https://t.co/FlcAwV1iYm,2020-10-04 12:57:12,TweetDeck,57,194,corona; 
This morning I joined @MSNBC with @AliVelshi to discuss what the coronavirus outbreak in the WH means for our national security and the lessons we should learn from it. This must be a unifying moment where we rededicate ourselves to the science that will help us beat this virus. https://t.co/AUR6mMd4GN,2020-10-03 13:35:49,TweetDeck,83,318,corona; 
I'm in DC today pushing for another coronavirus relief package but I'm thinking about the time I spent in Cinnaminson and Delran recently. Hearing from those business owners is guiding my push for easier PPP forgiveness less red tape and more critical state and local funding. https://t.co/exXx548Pf4,2020-09-30 15:32:06,TweetDeck,9,61,corona; 
Thank you to everyone who joined our Seniors for Andy round table this morning! I was happy to discuss how we can protect our Social Security and Medicare what we're doing in the fight against the coronavirus and everything we need to do to win between now and election day. https://t.co/GYVrunadmR,2020-09-24 16:19:32,TweetDeck,5,34,corona; 
As one of only 7 House Democrats charged with leading our nation's coronavirus response I've worked tirelessly to gather the facts on where we are and where we need to go. Today I released a report titled outlining how we can stay ahead of this virus.   https://t.co/N6IfxZsvbu,2020-09-22 17:27:33,TweetDeck,22,139,corona; 
The only bosses I have are the people of our community which is why it's so important I get out listen and talk about what's going on in Congress. I spent today in DC working on coronavirus relief but I'm always guided by conversations like this one I had just a few days ago. https://t.co/PMSWufS9ku,2020-09-01 21:46:23,TweetDeck,8,42,corona; 
In Bordentown what I heard from every small business owner was praise for their city government's coronavirus response. Hearing about leadership that was responsive flexible and innovative was a breath of fresh air before I went back to DC to keep fighting for our community. https://t.co/KhlwOQVXyj,2020-08-28 14:21:35,TweetDeck,5,25,corona; 
Christine from Berkeley Township said "I rely on the Postal Service to get the prescriptions I need especially during the coronavirus pandemic.",2020-08-16 15:04:46,Twitter Web App,7,11,corona; 
Masks are our best front line defense against the coronavirus pandemic. That's why I was proud to work with allies in the Korean American community to secure and donate more than 6500 masks to @OceanCountyYMCA and 21 Plus this week.  https://t.co/Fpbs2dEqWX,2020-08-13 19:26:29,Twitter Web App,7,19,corona; 
