This week’s #COVID19 pop-up test sites ⬇️ https://t.co/V7iLg8q560,2020-11-23 20:16:29,Twitter for iPhone,5,13,covid; 
Some very exciting news from Moderna but please don’t let your guard down. Now more than ever we need to remain vigilant avoid large gatherings wear our mask and stay socially distant. https://t.co/bxFu2sKzY9,2020-11-16 16:59:20,Twitter for iPhone,6,42,socially distant; 
There are a number of #COVID19 pop-up testing sites happening this week in all three counties. For more testing sites please visit https://t.co/SbcVMframY.,2020-11-16 15:33:12,Twitter for iPhone,2,6,covid; 
The #COVID19 pandemic is NOT over. As cases continue to rise please keep wearing your masks social distancing and staying home when you can. We can get through this together. https://t.co/8nGXM9poBv,2020-11-05 14:57:13,Twitter Web App,6,25,covid; 
This week’s #COVID19 testing sites in all three counties ⬇️ https://t.co/d4n8UvEmxb,2020-10-19 14:17:03,Twitter for iPhone,4,8,covid; 
.@realDonaldTrump is walking away from good-faith negotiations for #COVID19 relief.   He's walking away from his responsibilities as a leader.   And when the American people needed a President most - he's walking away from us. https://t.co/6Wb8zOAQB7,2020-10-06 20:14:03,Twitter Web App,17,41,covid; 
I want to reiterate that we as individuals must stay vigilant by wearing our masks washing our hands and maintaining social distance and as a nation must work together to fight this virus.,2020-10-02 20:26:54,Twitter Web Client,6,47,social distance; 
While I am fortunate to receive this news my heart is with the over 7 million Americans that have contracted COVID-19 and friends and families of 200000 that passed away.,2020-10-02 20:26:54,Twitter Web Client,4,52,covid; 
I have just received word that my COVID-19 test from this morning came back negative. I want to thank all of the Delawareans who reached out to me today sending me prayers and well-wishes.,2020-10-02 20:26:54,Twitter Web Client,71,1066,covid; 
After President Trump’s announcement that he and the First Lady have tested positive for COVID-19 and given my recent travels to Ohio for the first Presidential Debate I was tested for COVID-19 this morning and will be self-isolating as I await the results of my test. https://t.co/2ldwXIk4Wa,2020-10-02 14:05:21,Twitter Web App,6,56,covid; 
As #COVID19 cases rise in Delaware please be sure to stay vigilant and take every precaution to keep you and your family healthy. Wear a mask stay 6 feet apart and wash your hands often. https://t.co/fDU0nSHKEN,2020-09-30 20:37:48,Twitter Web App,2,18,covid; 
The Jobs and Justice Act addresses the disproportionate impact #COVID19 has had on Black Americans and provides funding for expanded testing contact tracing and treatment for those who need it most.   I am proud to support #JobsandJustice2020. https://t.co/f3xp01kg0O,2020-09-29 19:32:31,Twitter Web App,2,10,covid; 
Starting today #COVID19 testing will be done at fixed locations throughout Delaware.  Visit https://t.co/SbcVMframY to find a location.,2020-09-14 17:43:33,Twitter Web App,4,7,covid; 
This #LaborDay Weekend please be sure to wash your hands wear your mask and stay at least 6 feet away from other people. Have a fun and safe weekend without contributing to the spread of COVID-19. https://t.co/FqDmoP3Bzf,2020-09-05 14:15:38,Twitter for iPhone,3,17,covid; 
As part of National Health Center Week I joined @westsidehealth to discuss the critical role health centers play in responding to the #COVID19 pandemic. #NHCW2020 https://t.co/04KfMAwoFb,2020-08-13 20:07:37,Twitter Web App,1,4,covid; 
#COVID19 has had devastating health &amp; economic impacts on women &amp; families—especially women of color.,2020-08-11 17:04:18,Twitter Web App,8,14,covid; 
As we celebrate 55 years of the #VotingRightsAct our work to ensure every American’s access to the ballot isn’t over.   Congress must pass the John R. Lewis Voting Rights Act and give states the resources they need to #ProtectOurVote amid the COVID-19 crisis. #VRA55,2020-08-06 15:18:07,Twitter Web App,8,35,covid; 
Only 1/3 of the 12 million jobs women have lost due to #COVID19 have returned &amp; women of color have been hit hardest. We can’t leave them behind.   @HouseDemocrats passed the #HeroesAct to extend federal unemployment assistance. The Senate needs to act now.,2020-07-31 19:17:01,Twitter Web App,7,18,covid; 
Too many families across the country will face eviction due to the financial strain of #COVID19 when the federal moratorium expires tomorrow. With COVID cases and unemployment continuing to rise we must extend the moratorium. #RentReliefNow https://t.co/wJfqNJXck4,2020-07-24 16:32:54,Twitter Web App,5,18,covid; 
The #COVID19 pandemic has further exposed what we already knew - mental health disparities among communities of color are growing as they face growing uncertainty over health money and their futures. #HEAA2020,2020-07-17 17:01:39,Twitter for iPhone,4,21,covid; 
If you’re headed to the beaches this weekend please remember to wear a mask and social distance. #MaskUpDE https://t.co/36qzyyxN2X,2020-07-16 19:07:07,Twitter Web App,7,31,social distance; 
#ICYMI Over 50 organizations support my bill the Quit Because of COVID-19 Act. There has never been a more critical time to help #Medicaid and #CHIP beneficiaries access cessation services to quit using tobacco and reduce the risk of #COVID19 complications.,2020-07-15 17:45:21,Twitter for iPhone,4,13,covid; 
I want to thank @SecAzar for giving Nanticoke this award and the health care heroes on the frontlines at Nanticoke who continue to do the hard work of fighting COVID-19.,2020-07-13 18:00:44,Twitter Web App,1,3,covid; 
@ChooseNanticoke has been on the frontlines of the #COVID19 pandemic here in Delaware. Like many small rural hospitals across the country Nanticoke has faced an unprecedented drain on their resources in recent months. https://t.co/LxWG9U9yOB,2020-07-13 18:00:44,Twitter Web App,2,11,covid; 
Today marks 4 months since a national emergency for #COVID19 was announced.   122 days. @realDonaldTrump &amp; his @WhiteHouse still don’t have a national testing strategy.   Rather than attacking Dr. Fauci perhaps the President should talk to him. https://t.co/6KzSFg9q01,2020-07-13 16:39:49,Twitter Web App,7,25,covid; 
As we continue our economic recovery from #COVID19 I've been thinking a lot about the #FutureofWork.   It was great to join my friend @AFitzpayne &amp; the @AspenInstitute to talk about the #FutureofWork &amp; a host of other important issues. https://t.co/XySG30vK4z,2020-07-10 15:11:17,Twitter Web App,2,13,covid; 
Thank you Amanda for sharing Nick’s story with us. It‘s a tragic reminder of how serious #COVID19 is. Let his memory serve to remind us that the LEAST we can do for each other is to wear a mask. My heart is with you Elvis &amp; the rest of Nick’s family. https://t.co/fVLzD63UBR,2020-07-07 14:29:22,Twitter for iPhone,5,14,covid; 
Get tested for #COVID19 in Wilmington ⬇️ https://t.co/fC76mbgiil,2020-07-02 19:35:28,Twitter for iPhone,4,9,covid; 
