UNI women over Creighton 55/52.  Obviously I was not there.  No fans bc COVID. I listened on radio,2020-11-28 21:59:38,Twitter for iPhone,30,477,covid; 
I ask every Iowan to continue to do your part to keep your family &amp; neighbors safe this Thanksgiving.  Wash your hands   Limit your activity outside your household  Social distance   Wear a mask,2020-11-25 21:03:28,Twitter for iPhone,51,621,social distance; 
Every Thanksgiving I take time to count my blessings This yr like many Iowans I wont be w my family bc of coronavirus To all health care workers first responders essential workers teachers parents + everyone who plays a key role in keeping their community safe THANK YOU,2020-11-25 15:32:32,Twitter for iPhone,306,2967,corona; 
I’ve tested positive for coronavirus. I’ll b following my doctors’ orders/CDC guidelines &amp; continue to quarantine. I’m feeling good + will keep up on my work for the ppl of Iowa from home. I appreciate everyone’s well wishes + prayers &amp;look fwd to resuming my normal schedule soon,2020-11-17 22:42:07,Twitter for iPhone,5181,28342,corona; 
Q&amp;A w Fort Dodge Rotary Club issues: 2020 election Farm Credit coronavirus infrastructure Tax Cuts &amp; Jobs Act etc @ Hart Senate Office Building https://t.co/xIEH4eK31X,2020-11-16 18:55:33,Instagram,24,136,corona; 
In pre-COVID economy we saw record highs in 2019 in: real (inflation-adjusted) median family income; real median personal income &amp;household income…families prospered following tax reform + deregulation &amp;The virus isn’t stopping our economy from turning around to pre-March levels,2020-10-30 14:06:32,Twitter for iPhone,529,1921,covid; 
Yet again Dems block billions in coronavirus relief to help small businesses &amp; their workers stay on payroll. The popular+ bipartisan Paycheck Protection Program should be something we can all agree on &amp; yet Dems blocked the bill to try to hurt Republicans in the election,2020-10-20 23:03:02,Twitter for iPhone,3100,5428,corona; 
Compliments to Gov Reynolds &amp; the hard workers in our state. Iowa's unemployment rate has dropped for the 5th consecutive month since govt shutdown the economy bc of the coronavirus. Iowa's economy is humming again &amp; Iowans are getting back to work,2020-10-20 19:25:31,Twitter for iPhone,299,1100,corona; 
Talked w Neil Cavuto on Fox Business about coronavirus targeted relief &amp; selective censorship by big tech @ Russell Senate Office Building https://t.co/jSKDkspdmJ,2020-10-20 17:51:46,Instagram,62,297,corona; 
Democrats refused to negotiate in good faith &amp;instead tried to use coronavirus as an excuse to spend trillions of taxpayer dollars on unrelated issues. Hopefully the 2 sides can get 2gether on future bipartisan relief bill 2help unemployed/workers/small biz/farmers,2020-10-06 23:19:40,Twitter for iPhone,822,2386,corona; 
Barbara &amp; I regularly pray for @realDonaldTrump &amp; our First Lady as 1 Timothy 2:1-2 tells us to pray for those in authority but 2day we hv additional prayer that they get well soon after testing positive for coronavirus,2020-10-02 14:04:43,Twitter for iPhone,450,2653,corona; 
