@BadCOVID19Takes https://t.co/OGcc7R8CG5,2020-11-23 17:00:25,Twitter for Android,0,3,covid; 
On this week's #RecapWithRick ⬇️  🏞 #GreatAmericanOutdoorsAct #FundLWCF  🇺🇸 #FY21NDAA  🌲 Funded priorities to protect environment support local communities &amp; jobs 📝 Outlined priorities for next #COVID19 relief package 🐙🏒 Welcomed @NHLSeattle_ Kraken https://t.co/4xkT6iLbEU,2020-07-24 21:43:39,Twitter Web App,1,1,covid; 
Congress must act now to address the continued public health crisis and protect Washingtonians’ health safety &amp; economic security.   Read more about my priorities for any upcoming #COVID19 relief legislation 📑✅⬇️ https://t.co/24EnhBxRa7 https://t.co/y2Dm1kZLdT,2020-07-24 19:33:08,Twitter Web App,1,7,covid; 
Staff &amp; volunteers collected nearly 500 samples at @Whatcomctygov drive-thru site at #Bellingham’s Civic Stadium today.  For more info on #COVID19 testing ⬇️ https://t.co/GZg3cOzBUa.,2020-07-18 02:49:17,Twitter for iPhone,0,2,covid; 
This afternoon I visited the @Whatcomctygov #COVID19 testing site w/@CityofBhamWA Mayor Seth Fleetwood County Executive Satpal Sidhu &amp; County Health Dept Director Erika Lautenbach to hear from &amp; thank frontline health workers &amp; vols staffing the location. https://t.co/ABqWR30FBE,2020-07-18 02:49:17,Twitter for iPhone,4,15,covid; 
Thank you to frontline health care heroes in #WA02 working hard to fight the #COVID19 pandemic &amp; keep communities healthy &amp; safe. I will continue to advocate for federal funding to support health care workers &amp; boost virus testing which is critical to reopening WA’s economy.,2020-07-16 02:09:35,Twitter for iPhone,2,9,covid; 
Stopped by the Good Cheer Two Thrift Store in #Clinton to hear from staff how the #COVID19 pandemic has impacted store &amp; food bank operations.  I‘ll continue to work w/local officials &amp; WA congressional delegation to fight for pandemic relief for Washingtonians. #WorkingforWA2 https://t.co/DMbHLVTe1b,2020-07-15 01:41:31,Twitter for iPhone,2,0,covid; 
ICYMI: On Friday I caught up w/@komonews’ @YamsTV to discuss the #COVID19 pandemic police conduct reform #JusticeInPolicing comprehensive #MovingForward infrastructure legislation &amp; more.   Check out the interview on Connect to Congress 📺⬇️ https://t.co/hED5D1YqgG,2020-07-13 22:46:15,Twitter for iPhone,4,3,covid; 
Last week I visited @VOAWW’s food distribution center in #Everett to hear how the group has responded to increased demand during the #COVID19 pandemic.  I’ll continue to be strong supporter of programs &amp; efforts to help Washingtonians access healthy nutritious meals year-round. https://t.co/UsGzizUTSx,2020-07-13 17:16:22,Twitter for iPhone,3,10,covid; 
Thank you to Northwest Washington’s producers farmers &amp; farm laborers who are working hard to meet growing demands lessen the stresses on Washington state’s food system &amp; help feed hungry Washingtonians during the #COVID19 pandemic.,2020-07-11 01:59:11,Twitter for iPhone,1,8,covid; 
Did You Know: WA is home to 150+ farmers markets inc. more than a dozen in #WA02. This afternoon I stopped by the #Stanwood Farmers Market to see how the market is helping to feed hungry Washingtonians while also keeping customers &amp; vendors safe during the #COVID19 pandemic. https://t.co/K9hyMuqVEf,2020-07-11 01:59:10,Twitter for iPhone,1,6,covid; 
Yesterday I met with @PortofSeattle staff at @flySEA to view construction progress on the new international arrivals facility &amp; hear how SeaTac is working hard to combat the #COVID19 pandemic &amp; ensure the safety of frontline workers &amp; the traveling public. #MovingForward https://t.co/wLnCWexk1z,2020-07-09 02:11:35,Twitter for iPhone,7,10,covid; 
This is a terrible rule @ICEgov.  This administration continues to use the #COVID19 pandemic as a thinly-veiled excuse to limit lawful immigration. https://t.co/ha0WBnHrAA,2020-07-07 16:40:29,Twitter Web App,12,23,covid; 
💻📹📝#Anacortes ➡️ #LaConner ➡️ #FridayHarbor ➡️ #Stanwood ➡️ #Lynnwood  Today I held virtual meetings w/#WA02 mayors &amp; officials to hear about communities' #COVID19 response &amp; recovery plans &amp; discuss how I can cont to be an advocate for further pandemic relief. #WorkingforWA2 https://t.co/XOw8LptQZi,2020-07-01 01:46:41,Twitter Web App,1,15,covid; 
Federal investment in Washington state’s transportation &amp; infrastructure network = jobs &amp; is key to economic recovery in the wake of the #COVID19 pandemic. #MovingForward,2020-06-30 20:13:45,Twitter Web App,0,4,covid; 
The impacts of #COVID19 have hit renters &amp; homeowners hard in #WA02 &amp; across the country. Today I voted for emergency housing relief legislation to help renters &amp; homeowners avoid evictions &amp; stay in their homes. https://t.co/GunTjZAAnR,2020-06-30 03:15:36,Twitter Web App,6,25,covid; 
Wear your mask. Social distance. Wash your hands.  Pass it on.  #MaskUpWA https://t.co/liAcJ5uH6b,2020-06-26 23:27:51,Twitter Web App,16,88,social distance; 
For more information on #COVID19 testing in Snohomish County visit @SnoHD’s website ⬇️ https://t.co/sA1Q8sTRNx.,2020-06-19 22:34:23,Twitter for iPhone,0,1,covid; 
.@SnoHD continues to offer #COVID19 testing for those who need a test at several locations in the county including today at #Mukilteo Library.   I visited the library testing site to hear from frontline health workers and volunteers staffing the drive-thru location. https://t.co/7EpJRpIfCy,2020-06-19 22:34:22,Twitter for iPhone,4,7,covid; 
This morning I stopped by #Mukilteo Library to hear about the library’s #COVID19 response &amp; help librarians w/no-contact library material pickups by customers.  Learn about what the @snoislelibrary system is doing to serve #WA02 during the pandemic 📚➡️ https://t.co/1OfKvWCY8D https://t.co/ub0Bg5bSPT,2020-06-19 21:47:22,Twitter for iPhone,3,9,covid; 
My top priority is creating jobs &amp; investing in the foundation of long-term economic growth in the Pacific Northwest. I look forward to working with my colleagues to advance the #INVESTAct &amp; help the nation’s economy move forward in the wake of the #COVID19 pandemic.,2020-06-18 02:41:03,Twitter for iPhone,2,3,covid; 
Investment in WA’s infrastructure = jobs &amp; is key to economic recovery in the wake of #COVID19. The #INVESTAct is part of a long-term vision to put people back to work jumpstart the economy &amp; make the transportation network smarter safer &amp; greener.   Tune in now🛣️🌉🛤️🚴‍♂️🚶‍♀️⬇️ https://t.co/Nf0pJhfrB1,2020-06-17 14:00:46,Twitter Web App,5,7,covid; 
I was on Capitol Hill yesterday for a @HASCDemocrats  hearing on the role of the Department of Defense &amp; the Defense Industrial Base in responding to the #COVID19 pandemic.  Read more about my HASC oversight work during the pandemic ➡️ https://t.co/lrrI9duFaL https://t.co/foVgwJ7etI https://t.co/2jbwCcaR08,2020-06-11 19:26:02,Twitter Web App,0,0,covid; 
This week I was in DC for hearings on #COVID19's impact on transportation workers &amp; the DoD’s/DIB’s efforts in responding to the pandemic. I cosponsored the #JusticeInPolicing Act &amp; supported #Everett’s #BlackLivesMatter demonstration. 🔊⬇️ #RecapWithRick https://t.co/T1Mk4LbS6x,2020-06-11 16:55:27,Twitter Web App,1,2,covid; 
I am in DC for today’s @TransportDems hearing on #COVID19 impact on frontline transportation workers. I will continue to be a strong advocate for pandemic relief to ensure transport workers are protected &amp; have resources needed to keep the country moving. #ToThoseWhoKeepUsMoving https://t.co/9IzYIQyCFu,2020-06-09 19:23:20,Twitter Web App,4,19,covid; 
Today @TransportDems will hear directly from the dedicated hardworking women and men who risk their own health to keep the country #MovingForward during the #COVID19 pandemic.  Watch today’s hearing live ⬇️⬇️⬇️ https://t.co/aKMdjYT20L,2020-06-09 17:01:43,Twitter for iPhone,6,8,covid; 
Fed investment in WA’s infrastructure = jobs &amp; is key to economic recovery in the wake of the #COVID19 pandemic.   @TransportDems released the #INVESTAct that will invest ~$7b over 5 years to make WA’s transportation network smarter safer greener &amp; built to last. #MovingForward https://t.co/QX8swaf5Qo,2020-06-08 22:44:29,Twitter Web App,4,4,covid; 
I am back in Washington D.C. for important votes &amp; a @TransportDems hearing on the status of the U.S. maritime supply chain during #COVID19. This week also marks the end of #OlderAmericansMonth &amp; #APAHM.   Check out this week’s #RecapWithRick 🔊📹⬇️ https://t.co/l31s0VYjiP,2020-05-28 23:51:43,Twitter Web App,2,5,covid; 
I have heard from local small business owners about the need to make #COVID19 relief programs more accessible in order to retain workers &amp; stay in business. This afternoon I voted for bipartisan legislation that expands flexibility in PPP loans while protecting workers. https://t.co/Yi8oIk189c,2020-05-28 20:43:33,Twitter Web App,5,4,covid; 
Did you miss Wednesday’s #WA02 #COVID19 telephone town hall? Listen to an audio recap here ⬇️ https://t.co/uIwa295iiY,2020-05-22 18:29:02,Twitter for iPhone,2,3,covid; 
.@WANationalGuard members have been integral to WA’s #COVID19 response efforts. My colleagues &amp; I urged President Trump to extend Title 32 authority &amp; funding to July 31 to ensure members of the National Guard can continue to serve their communities &amp; keep Washingtonians safe. https://t.co/Eph9qZOlcg,2020-05-21 18:29:06,Twitter Web App,55,243,covid; 
Thank you to all the #WA02 constituents who joined tonight’s townhall on #COVID19. If you have more questions please reach out to my office:   ☎️ 425-252-3188 💻 https://t.co/LjPxWDVBat   Stay tuned for tonight’s live stream to be posted online.   #WorkingforWA2 #LarsenTownHall https://t.co/gdpRMo5Noy,2020-05-21 00:48:16,Twitter Web App,2,7,covid; 
I am talking to #WA02 constituents about #COVID19 with @ESDwaWorks staff. Join now to ask your question.   ☎️ 855-962-0954 💻 https://t.co/Bc0xCs1UbL   #WorkingforWA2 #LarsenTownHall https://t.co/52wZg2Hqea,2020-05-20 23:30:44,Twitter Web App,2,5,covid; 
LIVE: Dial in now to ask your question as I speak with #WA02 constituents about #COVID19 ⬇️  #WorkingforWA2 #LarsenTownHall https://t.co/6dwsKkFP5v,2020-05-20 23:01:15,Twitter Web App,2,7,covid; 
In one hour I will be updating my constituents on #COVID19 and talking with @ESDwaWorks staff. Dial in at 4:00 p.m. PT or stream online to ask your questions:   ☎️ 855-962-0954 💻 https://t.co/Bc0xCs1UbL   #WorkingforWA2 #LarsenTownHall https://t.co/JjTqvnzReZ,2020-05-20 22:18:37,Twitter Web App,3,5,covid; 
A reminder for #WA02: Join me tonight at 4:00 p.m. PT for a live telephone town hall on #COVID19.  Sign up to join the call &amp; access the audio live stream https://t.co/WJaoYUDNov. https://t.co/pOrKVdcnQS,2020-05-20 20:04:52,Twitter for iPhone,3,1,covid; 
1100+ @WANationalGuard troops are serving on the front lines of WA’s #COVID19 response delivering meals testing residents &amp; participating in contact tracing efforts.  I am working to ensure these heroes are duly compensated for their service to WA &amp; the country. @KIRO7Seattle https://t.co/KOzZyc7Kum,2020-05-20 19:39:45,Twitter Web App,3,11,covid; 
On call with Dr Anthony Fauci hosted by @NewDemCoalition this morning to understand issues of #COVID19 treatment using #remdesevir and other treatments and the the need for vaccine development.,2020-05-20 15:11:15,Twitter for iPad,2,9,covid; 
This afternoon I had visited one of Island County’s drive-thru testing sites where Island County has conducted nearly 1K #COVID19 tests in the past 48 hours. I‘ll continue to support fed funding to expand testing &amp; contact tracing efforts here in #WA02 &amp; across the country. https://t.co/5sHCNlbYDm,2020-05-20 04:53:58,Twitter for iPhone,6,19,covid; 
Staff at the North Whidbey Help House have been working hard to help feed hungry Whidbey Island residents during the #COVID19 pandemic.   I joined exec director Jean Wieman &amp; City Councilor Beth Munns to learn how fed funding helps orgs provide nutritious meals in #OakHarbor. https://t.co/BBvXDA3fDv,2020-05-20 02:23:53,Twitter for iPhone,4,12,covid; 
Join me tomorrow night (Wed. 5/20) at 4:00 p.m. PT for a live telephone town hall on #COVID19.  Sign up to join the call &amp; access the audio live stream at https://t.co/WJaoYUDNov.   #WorkingforWA2 https://t.co/3Cq4zt52mv,2020-05-20 01:11:12,Twitter Web App,3,1,covid; 
I also toured warehouse operations with Helping Hands executive director Becky Larsen @WANationalGuard Major General Bret Daugherty Brigadier General Brian Grenon &amp; Colonel McMahon commander of Washington state’s #COVID19 response team. https://t.co/krLakjEeXT,2020-05-19 03:05:15,Twitter for iPhone,2,9,covid; 
I am back in the other Washington to vote for the #HeroesAct to:  ✅ Boost #COVID19 testing tracing &amp; treatment ✅ Ensure Washington state’s essential workers &amp; first responders are paid ✅ Guarantee safe &amp; fair elections in 2020  Check out this week’s #RecapWithRick ⬇️ https://t.co/AHobmeXw9t,2020-05-15 20:31:52,Twitter Web App,7,14,covid; 
According to @FoodLifeline the need for food in WA has nearly doubled since the #COVID19 outbreak began. I support the #HeroesAct which includes a boost for vital nutrition programs like SNAP to help feed hungry Washingtonians. #HandsOffSNAP https://t.co/lo7lXY14iJ,2020-05-15 17:52:07,Twitter Web App,1,6,covid; 
A reminder from @IRSnews: Be alert to criminals that ask by phone email text or on social media to verify your information claiming it is needed to receive an Economic Impact Payment.   For more information visit https://t.co/3mISETyiTz. #COVIDreliefIRS https://t.co/oBGuMiB1SC,2020-05-13 17:10:14,Twitter Web App,4,2,covid; 
As WA begins to reopen in phases social distancing is still an important tool in the fight against #COVID19. @CDCgov cites a cluster of virus cases from Skagit County in a study that includes science-based recommendations to stay home wear face coverings &amp; social distance. https://t.co/mPuLtsRqcp,2020-05-13 01:55:11,Twitter for iPhone,6,8,covid; social distance; 
As of Friday @SkagitGov has tested 1368 people at its #COVID19 drive thru testing site at @SVCCollege. Last week I checked out the site &amp; heard from frontline workers staffing the #MountVernon location. For more info on testing in Skagit County visit https://t.co/i3R0a7Iftk. https://t.co/MHo8bI2fXX,2020-05-12 03:35:44,Twitter for iPhone,3,6,covid; 
Good luck to students across #WA02 &amp; WA taking AP tests this week!   I'm working w/@RepDelBene &amp; members of WA’s House delegation to push for additional funding in #COVID19 relief legislation to expand broadband internet coverage &amp; help close the digital divide here in WA. https://t.co/LS2dA7Od5A,2020-05-11 22:26:28,Twitter Web App,1,2,covid; 
On Friday I stopped by @valley_shine Distillery in #MountVernon to see how the small business has temporarily shifted operations to produce hand sanitizer to help protect Washingtonians from #COVID19. Thank you to owner Stacey Lazowski for showing me around! https://t.co/Q0msaNQ305,2020-05-11 20:58:16,Twitter for iPhone,2,14,covid; 
.@OversightDems announce first action from new House Select Subcommittee on the #coronavirus crisis: publicly held companies with market cap of more than $25m and a loan of more than $10m should return the money. #oversight counts. https://t.co/vgZJBcYvvU,2020-05-08 19:20:45,Twitter for Android,1,4,corona; 
The need for food in WA has nearly doubled since the #COVID19 outbreak began. I am working w/@RepKimSchrier &amp; Rep. @cathymcmorris on legislation to boost the ability of WA’s food banks &amp; nutrition programs to meet the needs of hungry Washingtonians during this difficult time.,2020-05-08 02:22:15,Twitter for iPhone,0,6,covid; 
Yesterday I joined @komonews @KellyKOMO4 to discuss the #COVID19 pandemic &amp; how the federal government can support state tribal &amp; local response &amp; recovery efforts.  Check out the full interview ⬇️⬇️⬇️ https://t.co/9UzALFYO4J,2020-05-07 22:47:38,Twitter for iPhone,2,2,covid; 
ICYMI: This week I helped @WANationalGuard troops pack food boxes at @FoodLifeline for distribution to food banks across WA.  I will continue to fight for robust federal funding for nutrition programs to help feed hungry Washingtonians during the #COVID19 outbreak &amp; year-round. https://t.co/eqf6vyPI0y,2020-05-07 18:50:51,Twitter Web App,1,8,covid; 
Governor Inslee recently announced the state will allow day use of some state parks state lands &amp; state Fish &amp; Wildlife areas beginning today Tuesday May 5.  To help slow the spread of #COVID19 &amp; #RecreateResponsibly please follow these tips from @waDNR 🥾🏔️⬇️ https://t.co/hEKzFjWPl2,2020-05-05 15:41:44,Twitter Web App,2,4,covid; 
According to @FoodLifeline the need for food in WA has nearly doubled since the #COVID19 outbreak began while food donations have dropped 70%.   Today I helped pack food boxes w/the women &amp; men of @WANationalGuard @ Food Lifeline in #Seattle for distribution to WA’s food banks. https://t.co/aJBmB2Su4W,2020-05-05 01:00:55,Twitter for iPhone,12,31,covid; 
Last week I virtually met w/future leaders from @SqualicumHS &amp; Options High School to hear students’ ideas for improving NW WA &amp; how #COVID19 has affected them. TY for your great questions about checks &amp; balances the relationship between state &amp; fed govts tech &amp; more! @BhamSD https://t.co/ADC1DP7LIH,2020-05-04 21:37:20,Twitter for iPhone,1,4,covid; 
@gadyepstein That he is wrong or that COVID-19 now has us discussing totally useless stuff?,2020-05-03 18:27:53,Twitter for Android,0,2,covid; 
@SnohomishTimes Been working the last 7 weeks on COVID-19 response working on recovery as well.,2020-05-03 02:09:51,Twitter for Android,1,7,covid; 
On this week’s #RecapWithRick:  📚 Virtually met w/civics students from @BhamSD &amp; @EverettSchools  🏥 Discussed #COVID19 impact on communities of color w/Dr. Janice Greene of @NAACP Snohomish County 📝 Joined San Juan County Council to encourage islanders to fill out #2020Census https://t.co/zpLKgzRqO2,2020-05-01 20:02:45,Twitter Web App,2,5,covid; 
A national #COVID19 testing strategy is critical to helping ensure Washingtonians can safely get back to work &amp; resume their daily lives.   Thank you @RepKimSchrier for your leadership! https://t.co/ebAjkOrrnw,2020-04-29 21:07:16,Twitter Web App,3,18,covid; 
Today @TransportDems @RepPeterDeFazio @TransportGOP  @RepSamGraves @RepGarretGraves &amp; I urged airlines to relax flight cancellation policies &amp; implement measures to ensure the safety of airline workers &amp; passengers who must travel during the ongoing #COVID19 pandemic. https://t.co/26RtVNNz0l,2020-04-29 00:31:21,Twitter for iPhone,2,2,covid; 
.@ESDwaWorks recommends these tips when applying for #COVID19 unemployment assistance:    ➡️ File late at night or early in the morning   ➡️ Wait until after Monday   ➡️ Use automated phone system after 6pm (800-318-6022)   For more information visit https://t.co/FDGOolvTfy. https://t.co/W0DI2NgUzH,2020-04-28 20:30:01,Twitter for iPhone,7,9,covid; 
Economic Impact Payments are a lifeline for individuals &amp; families dealing w/economic hardship stemming from #COVID19.   Today I urged @IRSnews to ensure its policies &amp; deadlines are practical for people on the West Coast not just those living in the Eastern Time Zone. https://t.co/bFvYRKIyfO,2020-04-27 23:41:51,Twitter for iPhone,2,4,covid; 
Tomorrow I will be flying back to #WA02 after voting for the #CoronavirusRelief package deliver relief for Washington state's small businesses hospitals health care workers &amp; boost #COVID19 testing.  Check out this week's #RecapWithRick ⬇️⬇️⬇️ https://t.co/NliMXdtJDq,2020-04-25 02:06:25,Twitter Web App,6,24,covid; corona; 
This package is a necessary next step to protect Washingtonians’ health safety &amp; economic security but it will not be the last. I will continue to work w/local officials &amp; Washington state’s congressional delegation to fight for critical #COVID19 relief.,2020-04-24 00:52:14,Twitter for iPhone,0,0,covid; 
Today I voted for the bipartisan interim #COVID19 emergency funding package to deliver relief for Washingtonians including:  ✅ Small businesses ✅ Hospitals &amp; health workers ✅ Testing https://t.co/zy6nBfygAa,2020-04-24 00:52:14,Twitter for iPhone,3,3,covid; 
I am in Washington D.C. today to vote for an interim #COVID19 funding package to deliver relief for Washington state’s small businesses &amp; hospitals &amp; more $$$ for testing.   #CoronavirusRelief #WorkingforWA2 https://t.co/rb35XruXyO,2020-04-23 19:57:25,Twitter for iPhone,3,18,covid; corona; 
