ATTN MARION COUNTY: Free COVID-19 tests on Saturday in Marion  https://t.co/a3TiTN6h5s,2020-11-13 20:30:00,TweetDeck,2,1,covid; 
America's servicemembers and their families can visit https://t.co/vkm6y2tWwv for key information and resources on: 😷 COVID-19 🗳️ Military voting 🏘️ Moving and housing 🔒 Confidential help 💵 Financial services and lenders 👪 Family and relationship issues 🇺🇸 And more https://t.co/Zmz1PeiLPs,2020-09-29 19:10:14,TweetDeck,3,2,covid; 
COVID-19 has created uncertainty for the livelihood of nearly 150000 Ohioans in #OH12 who are employed by #SmallBusinesses. I hope @OhioTreasurer's proposed grant program can provide quick relief to Ohio’s #SmallBiz. #SmallBusinessWeek #CARESAct  MORE ➡️ https://t.co/FkOe3ao6iN,2020-09-23 17:39:20,TweetDeck,2,4,covid; 
Thank you @SecretarySonny for reopening the Coronavirus Food Assistance Program! I was proud to help create this program through the #CARESAct. This will support Ohio families' access to nutritious meals while minimizing potential exposure COVID. MORE ⬇️ https://t.co/Iut3jMLell https://t.co/qLZLhRKLZT,2020-09-18 19:21:33,TweetDeck,2,5,covid; corona; 
Columbus is home to one of our nation’s largest &amp; most vital research institutions @OhioState. OSU researchers must preserve both public &amp; private partnerships. At a @housesciencegop hearing I asked a panel of nationwide university personnel about #COVID impact on their work.,2020-09-10 17:45:00,TweetDeck,2,4,covid; 
Great participating in the #WomenInSTEM Caucus virtual roundtable on biotechnology R&amp;D efforts on vaccines antivirals and therapeutic treatments for COVID. Women and other underrepresented groups are making vital contributions in each of these areas that should be recognized.,2020-09-10 17:15:00,TweetDeck,2,3,covid; 
I was happy to discuss housing issues facing rural Ohioans with @CARHNews. In July I joined a bipartisan group of lawmakers pushing congressional leaders to include common sense provisions of the Affordable Housing Credit Improvement Act into any upcoming COVID relief package. https://t.co/8lmmYbOhFI,2020-09-10 16:18:00,TweetDeck,1,2,covid; 
Great speaking with theantidoteftc a team of robotics students from New Albany. They worked with a local manufacturer to 3-D print face shields in response to COVID. This is an excellent way for young people to get #STEM training that can translate into professional skills.,2020-09-09 19:22:39,TweetDeck,3,8,covid; 
The #PaycheckProtectionProgram supported more than 51 million jobs for Americans during the coronavirus pandemic. Having a job helps Ohioans feel finally secure when they go to bed at night. That’s exactly why I fought to create improve and extend this program. #BackToBusiness https://t.co/HtLvgcw3aL,2020-09-01 17:41:15,Twitter for iPhone,24,64,corona; 
Thanks @ChamberofC @JenLCChamber for inviting me to speak at this morning's Virtual Washington Forum with business and community leaders across Licking County. I had a chance to share some of the work I've done to help ease the impact of COVID-19 here in Central Ohio. https://t.co/gzYW4fvX3s,2020-08-27 13:32:07,TweetDeck,3,10,covid; 
At 21 years old Alex McHugh started Universal Events a rental company in Newark. Since then he's built his #smallbiz from the ground up facing setbacks this year due to COVID. A #PPP loan helped this small business stay on its feet so they can get #BackToBusiness. @ChamberofC https://t.co/CPRYvN5RgX,2020-08-21 13:31:57,TweetDeck,3,10,covid; 
Have you recovered from #COVID19? Learn how donating plasma can make a difference for infected patients: https://t.co/iAI7YCgDsN  #DonatePlasma #TheFightIsInUs @thefightisinus https://t.co/VOnkCUixsC,2020-08-20 18:03:24,TweetDeck,1,1,covid; 
Waterford Signs in Delaware had to make quick changes to adapt to COVID-19 using a grant through the #CARESAct to procure #PPE such as face shields and plexiglass. Ensuring this #SmallBiz could get #BacktoBusiness safely is exactly why I fought for these grants in Washington. https://t.co/a6H2MiuLek,2020-08-19 19:25:55,Twitter for iPhone,3,4,covid; 
It's almost fall at Van Buren Acres in Hebron with their corn maze and pumpkin patch open September 12-November 1. Great to spend time there with @OhioFarmBureau and learn more about how Licking County's #ag sector is responding to COVID. #BacktoBusiness https://t.co/S3gquURRWM,2020-08-19 15:49:26,TweetDeck,2,8,covid; 
More FREE pop-up #COVID19 testing sites in #OH12 coming to Mansfield THIS SATURDAY from 10-2!  LEARN MORE ⬇️ https://t.co/vK5HeMoHqa,2020-08-18 15:34:23,TweetDeck,1,1,covid; 
Was very impressed during my virtual tour of @OhioSurgeryCent today and the practices they've put in place to protect patients and workers during COVID-19. With a decrease in patients a #PPP loan helped them retain all employees!,2020-08-17 18:23:00,TweetDeck,1,1,covid; 
Appreciate the opportunity to speak with @OhioTwpAssoc today about my work responding to COVID-19 expanding access to broadband internet and telehealth bipartisan work on @TransportGOP and more!,2020-08-17 17:57:09,TweetDeck,2,3,covid; 
COVID-19 ECONOMIC IMPACT PAYMENTS: @IRSnews has reopened the registration period for federal benefits recipients to enter info about qualifying children to receive $500 supplemental payments. The tool is NOW LIVE through Sept. 30th #COVIDreliefIRS  MORE: https://t.co/oCCGClpZoq,2020-08-17 15:22:44,TweetDeck,2,4,covid; 
Informative meeting with Neurxstem in Heath talking about their efforts to combat the opioid crisis and COVID-19. ⁦@OhioPort⁩ https://t.co/JedEGkthsS,2020-08-16 16:36:06,Twitter for iPhone,2,12,covid; 
Our bipartisan bill would give flexibility to Ohioans during COVID-19 allowing families to tap into unused funds from their health flex savings accounts and dependent care assistance plans and use this money however they see fit. MORE: https://t.co/W1Df0dRISd https://t.co/WbtRfVfs5z,2020-08-11 20:04:00,TweetDeck,0,3,covid; 
Ohio’s rural communities have been some of the hardest hit by COVID-19. Their needs cannot be overlooked in Congress' relief efforts.,2020-08-10 14:33:39,TweetDeck,1,7,covid; 
Very excited to announce the launch of the bipartisan Pandemic Preparedness Caucus with my colleagues @RepCindyAxne and @RepLoriTrahan! As representatives for the American people we owe it to them to assess our country’s response to the #COVID19 pandemic and build... (1/2) https://t.co/kGdwpEw0zz,2020-08-07 15:23:57,TweetDeck,4,5,covid; 
Great message about the resilience of Ohio farmers in the midst of the #COVID19 pandemic at tonight’s Morrow Co @OhioFarmBureau annual mtg. Thanks @clprettyman &amp; Mike Ralph w/ @Ohiosoycouncil for the updates. And thanks to all Ohio farmers for keeping us fed! https://t.co/k97oL0Expy,2020-08-06 01:06:55,Twitter for iPhone,8,20,covid; 
Important look at how #COVID19 has disproportionately impacted working moms and why #childcare facilities reopening safely and responsibly is the key to kickstarting our economy. My bipartisan bill would provide direct relief to childcare providers: https://t.co/B7rfOO6POP https://t.co/yCpTNHQVw7,2020-08-04 00:01:38,Twitter for iPhone,4,7,covid; 
This EO helps ensure lasting #telehealth services beyond #COVID19 flexibility for rural providers like many in #OH12 investment in healthcare infrastructure key initiatives on mental health reducing regulatory burdens on providers rural needs &amp; reducing maternal mortality,2020-08-03 22:22:40,TweetDeck,1,4,covid; 
Permanently responsibly expanding #telehealth has been one of my top priorities since I first took office. The need for this expansion has been given a national spotlight in recent months due to the #COVID19 pandemic.,2020-08-03 22:09:23,TweetDeck,0,2,covid; 
ATTN @Delaware_Ohio @DelawareCoOhio residents:  A new popup #COVID19 testing site will go live this Friday 8/7 at Second Ward Community Center located at 50 Ross Street.  LEARN MORE: https://t.co/bH1kWNP8Cr,2020-08-03 19:01:16,TweetDeck,2,2,covid; 
For Ohio's schools businesses and communities closing the digital divide means ensuring access to critical resources. COVID-19 has shined a light on this issue. It's time we ensure rural Ohioans have the access they need. #RuralBroadbandDay  MORE: https://t.co/bn7XDk8ndT,2020-07-31 19:07:42,TweetDeck,2,6,covid; 
