As the #COVID19 crisis rages throughout our city it’s important we remember to wear our masks wash our hands and practice social distancing. As we enter the holiday season this has never been more important.  https://t.co/ovkTNK2b3r,2020-11-28 18:50:46,Twitter Web App,11,17,covid; ,,,,
November 25 Update  Including: - COVID-19 updates for NYC - Fighting for #smallbiz - Oversight of the outgoing Trump Admin incl. @GSAEmily and @usedgov  https://t.co/4JDYnsppEZ,2020-11-25 21:14:53,Twitter Web App,5,7,covid; ,,,,
With 5 days to go Nov is already a record-breaking month for #COVID cases. Despite all our advancements in treatments our death rate is on track to pass the spring peak too. Vaccines are on the way but we must #SocialDistance &amp; #WearAMask till then. https://t.co/umynfhbbtp,2020-11-25 19:46:28,Twitter for iPhone,8,10,covid; socialdistance; ,,,,
As NYC faces another wave of COVID-19 staying home this Thanksgiving is the safest place to be to keep you and your loved ones safe. It’s not too late to say “no” to your plans.  https://t.co/k4uulVvq1F,2020-11-25 16:33:01,Twitter for iPhone,7,12,covid; ,,,,
Our city is once again being ravaged by #COVID19. We all need to do our part to protect ourselves and our neighbors by masking up and staying socially distanced. https://t.co/y0F73ggu4E,2020-11-25 1:20:00,TweetDeck,6,13,covid; ,,,,
There will be over a quarter-million empty seats at Thanksgiving tables across the country this year. The actions we take this Thanksgiving can help ensure that our loved ones will be there with us next Thanksgiving. #WearAMask #SocialDistance https://t.co/J67PdCQ1Lp,2020-11-23 16:19:56,Twitter Web App,8,26,socialdistance; ,,,,
Astoria House residents have been without gas for 2 months. This is an unacceptable unnecessary burden especially during the #COVID19 crisis. I have asked @NYCHA for a timeline of repairs and this morning stood with residents to send a message loud and clear. https://t.co/Lp1iFejJHK,2020-11-21 20:50:16,Twitter for iPhone,8,32,covid; ,,,,
NYC green spaces have provided much needed relief for NYers stuck indoors during the #COVID19 crisis. Throughout the pandemic I have enjoyed many weekend walks and gardening cleanups in Gantry State Park thanks to Hunters Point Conservancy. https://t.co/vjgWnrnodJ,2020-11-21 16:00:00,Twitter Web App,2,16,covid; ,,,,
Pandemic risk insurance is key to America’s economic recovery after the destruction from #COVID19. My Pandemic Risk Insurance Act (#PRIA) would provide a federal backstop keeping insurance affordable for businesses that need it. https://t.co/ikpfithcYh,2020-11-20 22:55:00,Twitter Web App,4,11,covid; ,,,,
The #COVID19 crisis is still here – and spreading. For your and our city’s health please stay home wash your hands wear your mask and practice social distancing. https://t.co/VWeeEyBghR,2020-11-20 21:07:55,Twitter Web App,6,14,covid; ,,,,
.@GSAEmily we need answers. There are American lives that depend on a competent and efficient government response to #COVID19. We want to know why you’re standing in the way of that response. You have until Monday. https://t.co/QtJyvXnAML,2020-11-20 19:42:40,Twitter Media Studio,129,304,covid; ,,,,
It is ESSENTIAL that when rebuilding from the #COVID19 crisis mental health substance abuse and other services are funded. NYers have been dealt a difficult hand and I will do everything I can to make sure everyone gets the services they deserve.  https://t.co/RCJNitPddT,2020-11-20 1:15:00,TweetDeck,6,14,covid; ,,,,
ATTN NYers: Open Enrollment for health insurance is happening now! Through January 31 2020 NYers can sign up for renew or change their coverage. During the #COVID19 crisis it is even more important to make sure you #GetCovered.  https://t.co/pNMQEHpg29,2020-11-19 21:28:48,Twitter Web App,5,3,covid; ,,,,
The key to combatting the #COVID19 crisis is comprehensive testing and tracing. If you’re an LIC resident find out here where you can get a rapid test ⤵️ https://t.co/nrAY4ogklW,2020-11-18 23:10:00,Twitter Web App,18,26,covid; ,,,,
ATTN NYers: NYS launched the COVID Alert NY app which will alert you if you were in contact with someone who has COVID19. The app is anonymous and won’t track your location. Download the app today ⤵️ https://t.co/OrFO3l45nW,2020-11-18 19:38:00,Twitter Web App,6,14,covid; ,,,,
As a longtime advocate for expanding green spaces in NYC I couldn’t agree more! Green spaces are providing critical relief to NYers during #COVID19  https://t.co/1PGivnN9JJ,2020-11-18 1:30:00,TweetDeck,5,22,covid; ,,,,
.@HouseDems are right now hearing from fmr Surgeon General and co-chair of President-elect @JoeBiden’s Covid-19 task force Dr. @vivek_murthy on the incoming admin's plans to fight the pandemic. It is refreshing to hear a plan based on science that has support from the top down.,2020-11-17 14:51:05,Twitter Web App,16,54,covid; ,,,,
With a second promising vaccine this time from @Moderna_tx we're one step closer to defeating the pandemic. But the virus will not stop raging until vaccines are widely distributed and we are months away from that.   We must continue to #WearAMask and #SocialDistance till then!,2020-11-16 21:05:58,Twitter Web App,11,32,socialdistance; ,,,,
NYC has always made art accessible to all- even during the #COVID19 crisis. Thank you to the @asiasocietyny for continuing this important tradition.  https://t.co/fSWHpjRfqj,2020-11-16 19:13:09,Twitter Web App,6,9,covid; ,,,,
ATTN NYers: Public schools remain open today Monday 11/16 as the City continues to monitor the 7-day positivity rate. Please continue to #maskup and social distance so we can turn around this trend.  https://t.co/C9oZlboIuR,2020-11-16 14:12:29,Twitter Web App,5,8,social distance; ,,,,
Testing + tracing is the key to combatting the #COVID19 crisis. Thank you to NY Health &amp; Hospitals for keeping NYers healthy as we face the 2nd wave of COVID-19.  https://t.co/iereEppyy4,2020-11-15 19:53:42,Twitter Web App,10,18,covid; ,,,,
Seniors have been dealt a difficult hand during the #COVID19 crisis and as always @_mealsonwheels is here when our city needs them most. Thank you.  https://t.co/4wYxBpUD9W,2020-11-13 21:47:30,Twitter Web App,5,18,covid; ,,,,
A welcomed reopening for LIC residents. Now LIC library computers and printers are open to the public. Remember to use #COVID19 precautions by wearing your mask bringing hand sanitizer and washing your hands when you're done using the equipment. https://t.co/HUJYLu3yKr,2020-11-12 21:45:00,TweetDeck,2,9,covid; ,,,,
ATTN NYers: Starting on Friday gyms bars &amp; restaurants will close at 10PM in order to help stop the spread of #COVID19. https://t.co/1SeMuUFVoE,2020-11-12 20:15:00,TweetDeck,6,14,covid; ,,,,
False allegations like this are meant to sow distrust. We can't let this misinformation erode trust in our democracy.  This trusted process let millions of Americans vote safely in the midst of #COVID19. Any assertions to the contrary are an attack on voters and our elections. https://t.co/AohPZ7Km33,2020-11-10 23:18:03,Twitter Web App,39,102,covid; ,,,,
Today #SCOTUS will hear the Trump Admin lawsuit to destroy the #ACA. Trump and the @GOP are asking the Court to dismantle ACA protections in the middle of the #COVID19 crisis - when access to affordable healthcare is more important than EVER. #SaveTheACA,2020-11-10 16:06:16,Twitter Web App,13,23,covid; ,,,,
With winter &amp; flu season approaching &amp; positivity rates of #COVID19 ticking up we need every NYer to do their part to stay safe &amp; combat the virus - #maskup and practice social distancing. Just because we're fed up with the virus doesn't mean it's gone. https://t.co/Lai04McSgA,2020-11-9 22:15:32,Twitter Web App,8,14,covid; ,,,,
We must remain vigilant and proactive to stop present and future #COVID19 outbreaks. Mask up stay socially distanced! https://t.co/84aOTZra6A,2020-11-6 17:13:53,Twitter Web App,8,13,covid; ,,,,
It is essential for the lives and livelihoods of the American people that we crush #COVID19. @HouseDemocrats made that possible when we passed the #HeroesAct months ago with a strategy that relies on SCIENCE. Why are you making us wait @senatemajldr? Our country deserves relief,2020-11-4 17:15:00,TweetDeck,19,58,covid; ,,,,
The experts have long said that the 🔑 to combatting the #COVID19 crisis is to test and trace. I’m proud of NY for being a national leader in overcoming the Coronavirus.  https://t.co/cq8kpgjJsB,2020-11-3 19:30:08,Hootsuite Inc.,5,21,covid; corona; ,,,,
In just 6 months @COVIDOversight: ✅Launched 30 investigations ✅Sent &gt;120 letters ✅Held 15 public hearings &amp; briefings ✅Published 7 staff reports detailing initial findings of the Trump Admin’s failures in responding to #COVID19.   And we’re not done yet. https://t.co/9oAv7Yd3G5,2020-11-2 22:15:00,TweetDeck,8,14,covid; ,,,,
ATTN NYers: Every person entering NYS is now required to get a negative COVID test and quarantine for 3 days. Make sure that you and your family plan accordingly &amp; stay up to date on all new restrictions.  https://t.co/eoCnjAkYaP,2020-11-2 21:00:00,TweetDeck,9,30,covid; ,,,,
Today I celebrated #DiadeMuertos2020 w/ LES community leaders at the Campos Community Garden. The LES has been hit hard by the #covid19 crisis and we remembered the lives taken too soon.   ￼ https://t.co/inlwrlBvc7,2020-11-1 19:30:30,Twitter for iPhone,3,10,covid; ,,,,
Thanks to everyone who came out to Bushwick Inlet Park today to say ‘hello’. NYers have been dealt a difficult hand during the #COVID19 crisis and together we will build back stronger. https://t.co/ZKx3s3C1rE,2020-10-31 19:43:45,Twitter for iPhone,4,15,covid; ,,,,
According to docs obtained by @oversightdems we know that Trump Admin officials tried to use a $250 million ad campaign for #COVID19 to help POTUS’ reelection. This GROSS misuse of taxpayer dollars is unacceptable. https://t.co/tPC4xYYNxk,2020-10-30 21:00:00,TweetDeck,9,10,covid; ,,,,
Have you gotten your flu shot yet? This year it is more important than ever as we face the #COVID19 crisis. Thanks to @RyanHealthNYC  for making sure the LES stays safe and healthy this winter. https://t.co/GtzdnVL0dN,2020-10-30 18:21:57,Hootsuite Inc.,2,8,covid; ,,,,
ATTN NYers: The #COVID19 crisis has not subsided in NYC. Testing is key to our recovery. Check out below for all of your options to get tested⬇️  https://t.co/FFQW71esrG,2020-10-29 20:00:00,TweetDeck,5,5,covid; ,,,,
@HouseDemocrats made a strong strategic science-based plan for testing tracing and treatment to crush #COVID19 in the #HeroesAct. This legislation is essential to saving the lives and livelihoods of the American people. RT if you agree!,2020-10-28 18:25:00,TweetDeck,1,1,covid; ,,,,
The @FCC has been asleep at the wheel while #COVID19 has widened the digital divide in America. With their decision today to gut #NetNeutrality public safety and universal access to broadband are jeopardized. RT if you agree that internet access is a RIGHT and not a privilege. https://t.co/eusg7dLHyA,2020-10-27 15:18:26,Twitter Web App,14,19,covid; ,,,,
It’s painfully obvious that the Trump Admin was woefully unprepared to handle the #COVID19 crisis. So this week I joined @SenWarren &amp; @RepRoKhanna to present a plan that will prevent this level of catastrophic mismanagement from ever happening again. https://t.co/oCK0YWg7Kp,2020-10-23 14:46:30,Twitter Web App,162,1002,covid; ,,,,
Great to see some constituents (at a safe social distance) this afternoon for #CarolynOnYourCorner. We've been dealt a difficult hand by the #COVID19 crisis here in NY but we are #NYStrong &amp; will recover. Thanks for coming by to talk about what issues matter most to you. https://t.co/qW2cxqpFE8,2020-10-22 21:16:37,Twitter Web App,3,12,covid; social distance; ,,,,
This proposal from The Climate Works for All Coalition is a vision for the future as our city recovers from #COVID19. These green jobs will help our city be a leader in a new green economy &amp; also provide good union jobs as we get back on our feet. https://t.co/orym9ezfml,2020-10-22 19:00:01,TweetDeck,5,5,covid; ,,,,
This Halloween remember to mask up and stay socially distant outside to keep your friends your neighbors and yourself safe from ghosts goblins and #COVID19.  https://t.co/rPIBlVYaGs,2020-10-22 16:37:48,TweetDeck,4,14,covid; socially distant; ,,,,
October 16 Update  Including: - Latest SCOTUS decision on the #2020Census - The Trump Admin's proposed COVID response legislation  https://t.co/8kscOReDVi,2020-10-16 22:21:02,Twitter Web App,4,5,covid; ,,,,
During a time when NYers are heading outdoors to social distance the surroundings MUST be safe to use. TY to my friend Katherine Thompson &amp; everyone at Friends of Bushwick Inlet Park for helping preserve one of NYC’s most beloved green spaces.  https://t.co/y8JR3jl2rL,2020-10-16 22:00:00,TweetDeck,5,10,social distance; ,,,,
Due to the #COVID19 crisis more NYers are getting around by 🚲.   Glad that @NYC_DOT is stepping up to meet the need to bicycling safer &amp; easier.  https://t.co/2gAJk2CTtL,2020-10-15 20:40:03,Hootsuite Inc.,4,16,covid; ,,,,
The Trump Admin’s #COVID19 relief proposal is simply insufficient. @SenateGOP needs to get serious about the health and economic crisis that has been devastating to millions of Americans. Families deserve the $2.2 trillion provided in the #HeroesAct. RT if you agree!,2020-10-15 17:20:04,Hootsuite Inc.,15,22,covid; ,,,,
Preserving NYC’s green spaces is more important than ever especially as an oasis for NYers stuck indoors during the #COVID19 crisis. Thank you Friends of Bushwick Inlet Park for your work to keep our park a beautiful space for the whole community. https://t.co/BFToTgsK0S,2020-10-14 23:00:25,Hootsuite Inc.,6,19,covid; ,,,,
Great to see constituents (at a safe social distance) this morning for #CarolynOnYourCorner. NYers have been dealt a difficult hand by #COVID19 crisis but because of our resiliency I know we’ll get through this - together. #NYStrong https://t.co/dkc1fQFTC8,2020-10-14 14:56:02,Twitter for iPhone,3,12,covid; social distance; ,,,,
Trump continues to refuse to listen to his own public health experts — putting politics over confronting this pandemic. What is it going to take for the President to take #COVID seriously? https://t.co/Hu0Pjoa3jX,2020-10-13 17:32:45,Twitter Web App,9,18,covid; ,,,,
October 9 Update  Including: - New package of bills with @RepPressley to address childhood trauma - New legislation w/ @CongressmanRaja &amp; @rosadelauro to prevent taxpayer $ from paying for a political propaganda campaign on #COVID__19  https://t.co/6sm8AbZzXT,2020-10-9 21:31:41,Twitter Web App,7,9,covid; ,,,,
Amazing to see how the @nyphil is making NYC street its stage to bring music and joy to our city in the midst of #COVID. https://t.co/uVtz9mzpgj,2020-10-9 21:15:26,Twitter Web App,11,43,covid; ,,,,
.@RepPressley &amp; I announced two new bills that address the growing crisis of childhood trauma. This holistic and community-based approach will combat years of regulatory assaults by the Trump Admin on the health and wellbeing of America’s children exacerbated by #COVID19. https://t.co/0vDI0nfbNA,2020-10-9 13:49:47,Twitter Web App,34,138,covid; ,,,,
The Trump Admin use of taxpayer $ for #COVID19 ads to “positively influence public perception” of the virus amounts to a propaganda campaign. I joined @CongressmanRaja to intro the Defeat Pandemic Propaganda Act to stop this gross misuse of taxpayer funds. https://t.co/wSMYHce3Fi,2020-10-8 19:26:15,Twitter Web App,210,414,covid; ,,,,
New Yorkers have stepped up in extraordinary ways to help their neighbors during the #COVID19 crisis. Amazing to see how by coming together we have not only lifted each other up but also saved lives.  https://t.co/7oencQLph6,2020-10-7 19:40:00,TweetDeck,7,14,covid; ,,,,
