My statement on my mother's passing and my COVID-19 positivity. https://t.co/q2czr3TiEQ,2020-11-26 02:13:07,Twitter Web App,87,1140,covid; 
REMINDER: The third round of funding for the @ClarkCountyNV Small Business Stabilization Grant is open Dec. 1 - Dec. 22 to provide relief to local small businesses affected by #COVID19. Learn more here: https://t.co/B6jCKwyGAB,2020-11-25 22:37:17,Twitter for iPhone,3,11,covid; 
We know that asymptomatic people can spread #COVID19. Even when not showing symptoms we should all socially distance wear a mask and stay home if you are able to as much as possible. https://t.co/hckp8Med3b,2020-11-25 20:02:05,Twitter for iPhone,5,19,covid; 
Here are the latest @SNHDinfo #COVID19 testing sites in our community. Remember SNHD recommends that symptomatic and asymptomatic people get tested. https://t.co/ikyI2MKicZ,2020-11-24 00:21:00,TweetDeck,3,7,covid; 
Those who use the #COVID19 pandemic as an excuse to scam and defraud Americans are the lowest of the low. I’m glad we passed @RepAnnieKuster’s Combating Pandemic Scams Act in the House to stop fraudsters from taking advantage of our most vulnerable. https://t.co/Sk9PoK4vkU,2020-11-18 22:30:00,TweetDeck,3,12,covid; 
Please look out for your family neighbors and fellow Nevadans as #COVID19 continues to spread. We need to be in this together.  Wear a mask.  Socially distance.  Stay home to the best of your ability.,2020-11-17 19:00:00,TweetDeck,7,36,covid; 
The coronavirus is not going away on its own. Devastating economic consequences are not going away on their own.   And things are going to get worse if we don’t act. More #COVID19 relief needs to be our top priority right now. https://t.co/xx9s9cH8w2,2020-11-12 21:26:07,Twitter for iPhone,7,20,covid; corona; 
Alright. Cases are at an all time high and Nevada families and workers need help. Congress needs to pass more #COVID19 relief. Now.  Let’s get to work.,2020-11-07 19:07:31,Twitter for iPhone,32,216,covid; 
Attention Nevadans! If you are voting in person tomorrow make sure you are doing so safely while following guidelines to protect yourself and others during the #COVID19 pandemic.   Read up on @CDCgov safety guidelines here: https://t.co/NNerNebwZO https://t.co/nfVVv0oDBF,2020-11-02 20:03:01,TweetDeck,3,5,covid; 
Another month has gone by without Congress and the White House passing more #COVID19 relief.  Hundreds of thousands of Nevadans are out of work and facing eviction.  Yet negotiations have stalled because of political games. We need to pass more relief.,2020-11-01 22:33:57,Twitter for iPhone,3,28,covid; 
Happy Halloween! 🎃   If you and your family are celebrating publicly this year please follow @CDCgov #COVID19 holiday safety guidelines. Make sure to look out for your family and neighbors! https://t.co/CWjTsaPwzj,2020-10-31 20:39:34,Twitter for iPhone,3,4,covid; 
