date,state.abb,state_incremental_cases,state_incremental_deaths
2020-01-21,WA,1.1,0
2020-01-22,WA,0,0
2020-01-23,WA,0,0
2020-01-24,IL,0.8,0
2020-01-24,WA,0,0
2020-01-25,CA,0.9,0
2020-01-25,IL,0,0
2020-01-25,WA,0,0
2020-01-26,AZ,1.1,0
2020-01-26,CA,1.3,0
2020-01-26,IL,0,0
2020-01-26,WA,0,0
2020-01-27,AZ,0,0
2020-01-27,CA,0,0
2020-01-27,IL,0,0
2020-01-27,WA,0,0
2020-01-28,AZ,0,0
2020-01-28,CA,0,0
2020-01-28,IL,0,0
2020-01-28,WA,0,0
2020-01-29,AZ,0,0
2020-01-29,CA,0,0
2020-01-29,IL,0,0
2020-01-29,WA,0,0
2020-01-30,AZ,0,0
2020-01-30,CA,0,0
2020-01-30,IL,0.8,0
2020-01-30,WA,0,0
2020-01-31,AZ,0,0
2020-01-31,CA,1,0
2020-01-31,IL,0,0
2020-01-31,WA,0,0
2020-02-01,AZ,0,0
2020-02-01,CA,0,0
2020-02-01,IL,0,0
2020-02-01,MA,1,0
2020-02-01,WA,0,0
2020-02-02,AZ,0,0
2020-02-02,CA,3,0
2020-02-02,IL,0,0
2020-02-02,MA,0,0
2020-02-02,WA,0,0
2020-02-03,AZ,0,0
2020-02-03,CA,0,0
2020-02-03,IL,0,0
2020-02-03,MA,0,0
2020-02-03,WA,0,0
2020-02-04,AZ,0,0
2020-02-04,CA,0,0
2020-02-04,IL,0,0
2020-02-04,MA,0,0
2020-02-04,WA,0,0
2020-02-05,AZ,0,0
2020-02-05,CA,0,0
2020-02-05,IL,0,0
2020-02-05,MA,0,0
2020-02-05,WA,0,0
2020-02-05,WI,1,0
2020-02-06,AZ,0,0
2020-02-06,CA,0,0
2020-02-06,IL,0,0
2020-02-06,MA,0,0
2020-02-06,WA,0,0
2020-02-06,WI,0,0
2020-02-07,AZ,0,0
2020-02-07,CA,0,0
2020-02-07,IL,0,0
2020-02-07,MA,0,0
2020-02-07,WA,0,0
2020-02-07,WI,0,0
2020-02-08,AZ,0,0
