date,national_incremental_cases,national_incremental_deaths
2020-01-21,1.1,0
2020-01-22,0,0
2020-01-23,0,0
2020-01-24,0.8,0
2020-01-25,0.9,0
2020-01-26,2.4000000000000004,0
2020-01-27,0,0
2020-01-28,0,0
2020-01-29,0,0
2020-01-30,0.8,0
2020-01-31,1,0
2020-02-01,1,0
2020-02-02,3,0
2020-02-03,0,0
2020-02-04,0,0
2020-02-05,1,0
2020-02-06,0,0
2020-02-07,0,0
2020-02-08,0,0
2020-02-09,0,0
2020-02-10,1,0
2020-02-11,0,0
2020-02-12,1,0
2020-02-13,1,0
2020-02-14,0,0
2020-02-15,0,0
2020-02-16,0,0
2020-02-17,10,0
2020-02-18,0,0
2020-02-19,0,0
2020-02-20,2,0
2020-02-21,3,0
2020-02-22,0,0
2020-02-23,0,0
2020-02-24,13.1,0
2020-02-25,2.1,0
2020-02-26,15,0
2020-02-27,0,0
2020-02-28,5,0
2020-02-29,4.7,0.9
2020-03-01,15,2
2020-03-02,15.8,2.9
2020-03-03,20.3,3.9
2020-03-04,35.8,1.9
2020-03-05,65,0
2020-03-06,80.3,2.9
2020-03-07,110.1,3.9
2020-03-08,117.4,3
2020-03-09,195.3,3.9
2020-03-10,251.2,5
2020-03-11,230.8,6.3
2020-03-12,360.1,6
2020-03-13,479.5,7.1
2020-03-14,557.3,8.9
2020-03-15,639.8,4
2020-03-16,769.7,21
2020-03-17,1212.8,21.7
2020-03-18,1730.6,31.1
2020-03-19,2880.2,44.1
2020-03-20,3611.8,42
2020-03-21,4485.6,59.9
2020-03-22,5541.7,52.2
2020-03-23,6636.5,83.6
2020-03-24,7616.2,116.3
2020-03-25,9094.9,158
2020-03-26,12904.2,186.2
2020-03-27,14296.6,300.7
2020-03-28,14829.7,262.6
2020-03-29,14522.1,154
2020-03-30,16359.6,357.1
2020-03-31,19567.9,535.5
2020-04-01,21002.1,628.4
2020-04-02,24610.3,786.8
2020-04-03,27271.3,698.1
2020-04-04,29163,1262.1
2020-04-05,21190.6,544
2020-04-06,25965.4,968.5
2020-04-07,26804.2,1474
2020-04-08,26685.9,1309.5
2020-04-09,29286.1,1256.1
2020-04-10,27837.7,1509.1
2020-04-11,25037.5,1305.8
2020-04-12,21823.8,955.6
2020-04-13,21896.8,1134.9
2020-04-14,23065.6,1936.9
2020-04-15,22830.9,1910.6
2020-04-16,26667.7,1773.2
2020-04-17,27184.3,1441.2
2020-04-18,24228.2,1235.6
2020-04-19,22307.8,1543
2020-04-20,24514.8,1374.5
2020-04-21,22778,2286.7
2020-04-22,24674.9,1812.3
2020-04-23,29810.1,1777.2
2020-04-24,32853.6,1694
2020-04-25,29359,1676.5
2020-04-26,23244.3,880.5
2020-04-27,20538.3,1144.4
2020-04-28,23464.9,1995.9
2020-04-29,24423.3,2175
2020-04-30,27281.9,1982.8
2020-05-01,31448.1,1593.7
2020-05-02,26552.4,1511.3
2020-05-03,23473.5,1057.8
2020-05-04,20740.2,889.9
2020-05-05,24274.7,2067.1
2020-05-06,23289.5,2429.3
2020-05-07,25779.6,1768.7
2020-05-08,25933.3,1489.2
2020-05-09,23254.2,1317.4
2020-05-10,18553.4,820.5
2020-05-11,18581,936.8
2020-05-12,21283.8,1459.1
2020-05-13,19599.6,1662.4
2020-05-14,25661.1,1661.5
2020-05-15,23827.1,1519.6
2020-05-16,22182.2,1117.3
2020-05-17,17247.7,698.7
2020-05-18,21264.4,674.3
2020-05-19,20333.7,1409.2
2020-05-20,22551.5,1431.8
2020-05-21,24293.2,1243.8
2020-05-22,22840.1,1189.1
2020-05-23,20796.1,982.8
2020-05-24,19655.3,525.3
2020-05-25,19019.9,472
2020-05-26,18694.9,690.1
2020-05-27,18230,1603.9
2020-05-28,21339.5,1146
2020-05-29,23783.1,1122.9
2020-05-30,22239.7,907.5
2020-05-31,19916.8,543.9
2020-06-01,21634.2,677.9
2020-06-02,19738,1022.6
2020-06-03,19668.1,941.3
2020-06-04,21103.5,941.7
2020-06-05,28146,1071.7
2020-06-06,21799.9,697.3
2020-06-07,17964.5,367.7
2020-06-08,17894.2,611.2
2020-06-09,18391.2,985.1
2020-06-10,20393.5,850.1
2020-06-11,22700.1,830.8
2020-06-12,24909.8,721.4
2020-06-13,24487,661.5
2020-06-14,18252.2,296
2020-06-15,20106.1,409.2
2020-06-16,24347,722.2
2020-06-17,25409.5,733.3
2020-06-18,26390,680
2020-06-19,31483.9,637.4
2020-06-20,30357.8,537.8
2020-06-21,25927.4,217.4
2020-06-22,30957.1,318
2020-06-23,34662.4,805.8
2020-06-24,36702.3,734.3
2020-06-25,40544.8,2435.3
2020-06-26,45058.4,717.5
2020-06-27,41663.4,493.4
2020-06-28,38255.2,239.6
2020-06-29,38400.5,335.2
2020-06-30,49021,663.2
2020-07-01,49720.9,629.2
2020-07-02,53300,671.8
2020-07-03,58637.1,589.9
2020-07-04,50050.8,240.1
2020-07-05,44400.8,225.8
2020-07-06,46932.9,384.3
2020-07-07,53578.7,923.2
2020-07-08,58814.8,885.2
2020-07-09,59626.3,899.5
2020-07-10,67366.8,816.8
2020-07-11,60173.9,655.1
2020-07-12,57295.2,389.7
