💫When COVID-19 disproportionately attacked our communities-of-color I worked to bring testing sites to #Brooklyn 💫When our small businesses &amp; essential workers needed financial relief I worked to direct resources and extended aide to businesses and families in Brooklyn. https://t.co/byUHWxSorE,2020-06-22 23:53:34,Twitter for Android,3,6,covid; 
Today's Nursing Home shift change w/ @1199SEIU  at Shop Stewards in  #CrownHeights with the amazing staff from the Center For Nursing and Rehabilitation. Elbow bumps are in folks. Handshakes are not! #HealthcareWorkers #EssentialStaff #Appreciation #COVID-19 https://t.co/lGJbA8Yzro,2020-06-22 22:40:52,Sprout Social,1,1,covid; 
Please stay safe during these challenging times. The COVID-19 pandemic has NOT ended so continue to wear masks social distance when possible and carry hand sanitizer. The hand sanitizer giveaway with #PowellStreetBlockAssociation and @SenatorPersaud was a much-needed event. https://t.co/8Yx4W70rBd,2020-06-20 23:14:06,Sprout Social,1,3,covid; social distance; 
Yesterday's food giveaway with the Pakistani community and @SenatorParker was a reminder of how important it is to come together in crisis times. They have supplied free food to the community since the start of the COVID-19 pandemic. Thank you again!    #ComeBreakBreadWithUS https://t.co/wTThRP7xG2,2020-06-20 22:14:05,Sprout Social,3,8,covid; 
Protests are very important and staying COVID-19 free is also important. Here are some safety Do’s and Don’ts to help you stay safe while protesting.   #justiceforgeorgefloyd #justiceforbreonnataylor #justiceforcountleasothers #solidarity #voteyvette https://t.co/cksh0LBpjI,2020-06-16 15:15:16,Sprout Social,1,2,covid; 
COVID-19 has many people worried about going out to vote in the primary elections. Though these are trying times we can’t let this situation silence our voices. Here are some ways you can vote safely.  Click here to request your absentee ballot: https://t.co/yNjEPubdUs  #votenow https://t.co/KOppeR46VL,2020-06-14 15:45:06,Sprout Social,2,2,covid; 
The Cares Act was not perfect. But we needed to act now to protect my constituents’ health and well-being  Brooklynites are counting on action from Congress as more and more people are being impacted by COVID-19. https://t.co/5hd6GJnF3B,2020-06-03 23:46:40,Twitter Web App,1,0,covid; 
Of the 1797457 COVID-19 cases in the US 21% are in New York. We are only 6% of the country’s population. This is a healthcare emergency. https://t.co/z9vIg39kLB,2020-06-01 19:34:38,Twitter for iPhone,1,1,covid; 
His name was James Mahoney. He worked nights at Kings County Hospital and day shifts in the ICU of University Hospital. Like many hospitals in New York they initially lacked the medical equipment needed to treat the onslaught of COVID19 patients. https://t.co/1U5smGafdj,2020-05-19 12:56:18,Twitter for iPhone,1,0,covid; 
Join me and @SenGillibrand  on Friday May 22nd at 11am for a virtual conversation around my re-election campaign and leadership in the time of COVID-19 and beyond. Visit https://t.co/r8J5AMq6IY to reserve your spot. https://t.co/m06zIf2lBy,2020-05-18 23:41:55,Twitter Web App,3,5,covid; 
"We can't get through COVID-19 and its implications using a pre-COVID19 mindset. What we're up against in Washington is a fight. The implications are a matter of life and death." - YDC #BusinessAsUsual,2020-05-18 19:24:28,Twitter Web App,0,0,covid; 
