Please remember to wear a mask social distance avoid traveling and stay safe.,2020-11-27 00:11:26,Twitter for iPhone,66,634,social distance; 
Black people are nearly 5x more likely to be hospitalized after contracting COVID &amp; 2x as likely to die. We must dismantle racism in our health care system &amp; support medically underserved communities with tracing &amp; testing.  Proud to be working with @SenWarren on this effort. https://t.co/HKzqYvxisK,2020-11-24 20:22:57,Twitter Web App,128,479,covid; 
Reminder: a COVID relief bill has been sitting on Mitch McConnell’s desk for 50 days while millions struggle to keep food on the table.,2020-11-20 15:12:17,Twitter Web App,24303,107052,covid; 
When Mitch McConnell demands liability protections in a COVID deal this is the kind of corporate malfeasance he’s trying to protect. https://t.co/3ZzfpDHaiM,2020-11-19 23:10:14,Twitter Web App,129,199,covid; 
Wear a mask and social distance. Check in on your family and neighbors. We're going to get through this but we have to work together https://t.co/u2XMdff693,2020-11-17 02:42:03,Twitter Web App,29,173,social distance; 
Wear a mask social distance and look out for one another.  This fight is far from over.,2020-11-15 17:43:20,Twitter for iPhone,165,1130,social distance; 
COVID-19 has taken over 243000 lives in our country and yet there is still no national testing strategy and Senate Republicans continue to block urgently needed relief.   Lives are on the line and we must act immediately. https://t.co/YRPtWic2nV,2020-11-15 01:15:46,Twitter for iPhone,62,218,covid; 
Saddened to hear my long-time friend &amp; former Ghanaian President Jerry John Rawlings passed away from COVID-19. He can be credited with ushering in democracy in Ghana &amp; changing the landscape of African politics. My condolences to his family as his soul returns to his maker. https://t.co/XHhaD4V7qs,2020-11-13 20:10:01,Twitter Web App,42,433,covid; 
COVID-19 jeopardizes decades of progress and U.S. investment in global child health and survival. We must work together to make sure gains made are not lost.   This #ChildHealthWeek let’s pave a new and better way forward for children everywhere.,2020-11-12 23:52:04,Twitter for iPhone,31,105,covid; 
Wear a mask social distance and look out for one another. This fight isn’t over.,2020-10-25 20:48:24,Twitter Web App,192,1029,social distance; 
What we could pay for over the next year if we cut the military budget by 10%:  ✅ 684855233 COVID Tests &amp;  ✅ 820000 Hospital Stays for COVID-19 &amp;  ✅ 788461 People receiving $600 weekly unemployment payments  It’s past time we end wasteful spending &amp; invest in the people.,2020-10-25 16:42:27,Twitter Web App,190,631,covid; 
Reminder: the House passed a robust COVID relief bill 23 days ago.   It’s been sitting on Mitch McConnell’s desk while he rushes through a SCOTUS confirmation vote just days before an election.,2020-10-24 22:00:45,Twitter Web App,217,687,covid; 
Abortions are safe effective health care. Don't let Trump a science and COVID denier tell you otherwise.    Listen to the medical professionals.,2020-10-06 22:33:05,Twitter Web App,585,2816,covid; 
We've eclipsed 200000 deaths from COVID-19 &amp; this weekend Trump knowingly endangered Secret Service members to carry out a political stunt &amp; admitted he's "learning a lot about the virus" now that he has it.  Trump has made clear that he doesn't care about anyone but himself.,2020-10-05 17:50:13,Twitter Web App,90,354,covid; 
We must provide resources for low income &amp; communities of color to conduct life-saving services to combat COVID-19.   My legislation w/ @RepKarenBass @RepRobinKelly @JoaquinCastrotx @RepDebHaaland @RepDavids &amp; @RepJudyChu allows communities to build trust &amp; save lives. https://t.co/Lt70E5a9yN,2020-09-09 18:56:55,Twitter Web App,15,54,covid; 
186000 people have died from COVID-19 and 800000 filed for unemployment last week. #ButHerHair https://t.co/zphqt9u88E,2020-09-03 22:47:30,Twitter Web App,152,419,covid; 
Systemic racism can be found in nearly everything. Racial injustices in health care are a matter of life &amp; death &amp; COVID-19 has only made matters worse.   I’m working w/ @SenWarren &amp; @RepPressley to address these disparities in public health outcomes. It's unacceptable. https://t.co/n4OXd7GBAa,2020-09-03 16:06:14,Twitter Web App,418,1761,covid; 
UPDATE: I joined my colleagues @RepSylviaGarcia @rosadelauro &amp; others in a letter to Robert Redfield demanding answers on the CDC's deeply concerning decision to no longer recommend testing for all those exposed to COVID-19. https://t.co/VAwWwexayP,2020-08-27 21:06:18,Twitter Web App,58,160,covid; 
It's been 100 days since the House passed the #HeroesAct to fight COVID-19.   How many days must American families and frontline heroes go without desperately-needed support before Republicans in Congress are ready and willing to act?,2020-08-23 18:10:34,Twitter for iPhone,1268,3996,covid; 
Wear a mask social distance and be kind to one another.,2020-08-09 13:36:57,Twitter Web App,226,1262,social distance; 
The GOP is shamefully working to shield corporations from liability if their workers get COVID-19.   We cannot allow them to give companies protection from cutting corners on safety measures especially as cases continue to rise.,2020-08-04 16:11:58,Twitter Web App,78,227,covid; 
If we cut the military budget by 10% we could buy approximately:  225871999 coronavirus tests 563425 monthly relief payments of $1200 270444 COVID-19 patient hospital stays,2020-07-20 18:05:20,Twitter Web App,955,2440,covid; corona; 
The economic and racial disparities of COVID-19 are clear. It’s past time to eliminate the policies that allow for this inequality to persist in our country.  https://t.co/8uC9jIyYHv,2020-07-13 13:59:12,Twitter Web App,25,75,covid; 
The lack of resources to keep people safe in prisons is appalling. We must act to address the COVID-19 crisis in prisons.   https://t.co/U233xMqMPw,2020-07-12 22:22:59,Twitter Web App,28,117,covid; 
Roger Stone gets to walk free while millions of non-violent offenders face a COVID-19 death sentence in prison. Where is the equal justice in that?,2020-07-11 03:19:52,Twitter Web App,1404,5081,covid; 
By over-prioritizing the Pentagon with billions spent on endless wars pentagon contractors waste fraud and abuse our country is drastically underprepared for COVID-19 or any other crisis. This must end.  https://t.co/GdvvubiI2S,2020-07-10 18:17:13,Twitter Web App,68,163,covid; 
Health experts agree—the World Health Organization is an important tool to fight a virus that knows no borders. But Trump would rather blame others than fix his COVID failures. #WeNeedWHO,2020-07-07 20:41:42,Twitter Web App,69,282,covid; 
With a record number of new COVID-19 cases this administration is trying to dismantle our healthcare system. We cannot stand for this. It’s time for #MedicareforAll.,2020-07-05 18:28:14,Twitter Web App,237,782,covid; 
Underinvestment in public health has led to 10 times more deaths from COVID-19 than the wars in Iraq and Afghanistan. This is shameful. Congress must act NOW to end wasteful military spending and invest in public health.  https://t.co/wdwUC3S1oY,2020-07-03 00:28:49,Twitter Web App,485,1572,covid; 
While the world responds to the devastating COVID-19 crisis the climate catastrophe continues to get worse. We need leaders who can deal with the reality of the threats facing our country.  https://t.co/QmnPtimELU,2020-06-30 03:28:49,Twitter Web App,61,213,covid; 
Wear your masks.  Stay inside.  Social distance.   We can only beat this if we call work together.,2020-06-24 19:53:00,TweetDeck,90,466,social distance; 
REMINDER: Trump is still pushing racist and xenophobic rhetoric to pass the blame for his failed coronavirus response.   It’s COVID-19 – not any of the slurs Trump uses. https://t.co/fNNW4HqO0U,2020-06-24 18:32:45,TweetDeck,43,121,covid; corona; 
CA saw record breaking cases in #COVID19 yesterday. We must continue to adhere to social distancing and wear masks. Do your part to help keep your community safe and slow down the spread of this virus. https://t.co/obzwzClKDi,2020-06-18 16:30:00,TweetDeck,48,69,covid; 
People are getting bills for upwards of a MILLION DOLLARS for #COVID.   It's time for #MedicareForAll. https://t.co/gqskBY2kRx,2020-06-16 20:21:00,TweetDeck,79,158,covid; 
*taps mic* Finalizing this rule during the #COVID-19 pandemic which is disproportionately affecting Black people and other people of color is par for the course for an administration known for its cruelty. https://t.co/vpQhdbbojl,2020-06-12 20:43:43,TweetDeck,78,167,covid; 
We just reached more than 2 million confirmed COVID cases.    Families are still struggling to pay the bills.   Trump's response to this public health crisis has been a total failure. https://t.co/5xAmnfOpPG,2020-06-11 16:41:52,TweetDeck,64,126,covid; 
‘Pandemic Within a Pandemic’: Coronavirus and Police Brutality Roil Black Communities https://t.co/cl9HEp9MU0,2020-06-08 14:07:37,Twitter Web App,25,67,corona; 
