Thank you for your important work especially as we continue to battle #COVID19.  #GiveThanks,2020-11-23 23:40:02,Twitter for iPhone,0,2,covid; 
Disclaimer: This photo was taken last year before COVID-19.,2020-11-20 00:27:33,Twitter for iPhone,1,9,covid; 
Yesterday I met with business owners and employees in Perry Co. to hear directly from them on how COVID has affected their businesses and to see what further support they need.  To help keep these pillars of our communities open be sure to #shopsmall and #shoplocal. https://t.co/zHcXyG9IV1,2020-10-30 20:08:22,Twitter for iPhone,3,5,covid; 
This order will provide 4th graders whose free access to our National Parks was disrupted by COVID continued access throughout 5th grade.  Especially during the pandemic the outdoors have huge mental physical &amp; educational benefits.    The full letter: https://t.co/Um0lDbnxbX,2020-10-28 22:42:02,Twitter Web App,1,6,covid; 
In #Ohio addiction-related deaths were decreasing but as #COVID continues the number of these deaths has spiked.  It’s clear that we must remain vigilant and work together in the fight against addiction.,2020-10-27 20:51:16,Twitter for iPhone,0,4,covid; 
I stopped by the zoo to hear how they have been impacted during #COVID and how they have safely reopened so families can continue enjoying this great outdoor attraction in a safe socially distanced manner.,2020-10-23 17:11:33,Twitter for iPhone,0,3,covid; 
ATTN Circleville: There will be FREE COVID testing near you on Saturday.   ➡️WHERE: Second Baptist Church ➡️WHEN: 9 a.m. - 1 p.m.  Ohioans can find additional testing sites in your area at https://t.co/XH6c5rqeG7. https://t.co/x1F77K7pkU,2020-10-23 00:06:38,Twitter for iPhone,1,2,covid; 
This week I had the chance to talk with Stan Gigi and Charlotte of La Chatelaine Bakery about how #COVID has affected their business.  Though PPP loans have been helpful to small businesses this pandemic has created unprecedented obstacles and challenges for our restaurants. https://t.co/jysy2Y3QC8,2020-10-22 14:59:06,Twitter for iPhone,5,4,covid; 
We continued the 2020 series of Opioid &amp; Addiction Roundtables in Circleville to discuss policy ideas and local initiatives. @CDCgov reported that overdose deaths decreased this year. That's reason to be optimistic.  But we can't lose sight of the addiction epidemic amidst COVID. https://t.co/1joLNMHbRv,2020-10-15 23:20:17,Twitter for iPhone,7,6,covid; 
If you are down this way pop in these great businesses and help them make up for lost revenue they will face this year. Nearly 400000 less people will be visiting the community for the Greatest Free Show on Earth due to coronavirus restrictions.   https://t.co/I31H45ubZE,2020-10-14 15:27:19,Twitter for iPhone,1,2,corona; 
I toured Circleville's downtown to hear from some incredible small business owners on how COVID has affected them and how they are adapting after the Pumpkin Show's cancellation.   I'm proud of their resilience and will continue fighting for more relief to support Main Street. https://t.co/aSNQIjV0sp,2020-10-14 15:27:18,Twitter for iPhone,4,15,covid; 
