NC free community COVID-19 testing this weekend! Learn more below. https://t.co/yMN8QMpdyh,2020-11-20 18:12:03,Twitter for iPhone,6,8,covid; 
It’s been more than 4 months since @HouseDemocrats sent @SenateGOP $3.4 trillion in desperately-needed coronavirus relief &amp; McConnell hit the brakes.   Republicans must meet us halfway &amp; pass the updated #HeroesAct to protect lives livelihoods &amp; the life of our democracy.,2020-09-30 15:37:29,Twitter for iPhone,10,15,corona; 
How many lives could have been saved if Trump had actually been honest about the danger posed by the coronavirus? It’s time for the Republican Senate to do the right thing put #FamiliesFirst and pass the #HeroesAct. https://t.co/BzlBQlFrOr,2020-09-15 19:27:01,Twitter for iPhone,7,10,corona; 
I’m encouraged by the "K-12 Bridge to Broadband" initiative connecting students to virtual learning from their homes during the COVID-19 pandemic. Partnerships like these help make sure that ALL students have the resources they need to be successful. #ConnectedEd https://t.co/2h9OC5jj4Q,2020-09-10 21:03:36,Twitter for iPhone,6,12,covid; 
Instead putting #FamiliesFirst the President has devoted himself to dismissing facts and ignoring the best advice of experts. More than 6 million Americans have tested positive for COVID-19. Republicans must meet Democrats halfway and come back to the negotiating table. https://t.co/NJlL7VzU5M,2020-09-01 13:29:45,Twitter for iPhone,7,8,covid; 
It's been 101 days since the House passed the #HeroesAct to fight COVID-19. How many days must American families and frontline heroes go without desperately-needed support before Republicans in Congress are ready and willing to act?,2020-08-24 18:56:16,Twitter for iPhone,8,9,covid; 
“As we continue to adjust to the health concerns amid COVID-19 it is imperative that we ensure the postal service has the resources it needs to continue to serve the American people.” #DontMessWithUSPS  https://t.co/Wp7oRPzuDw,2020-08-18 21:32:49,Twitter for iPhone,4,6,covid; 
#IRS is reopening registration period for federal benefits recipients to enter info about qualifying children and receive their supplemental $500 Economic Impact Payments. Folks can use the tool from Aug. 15 through Sept. 30. #COVIDreliefIRS https://t.co/NEh1rtcbjm https://t.co/HPQQ8u3Au7,2020-08-17 14:01:13,Twitter for iPhone,4,1,covid; 
The @ncdhhs has community testing events scheduled in Bertie Hertford Northampton Pitt Wilson and other N.C. counties as part of the initiative to increase access to free COVID-19 testing for communities that currently have limited testing sites. https://t.co/pCbJdE1GO0,2020-08-11 14:24:49,Twitter for iPhone,7,6,covid; 
As we celebrate 55 years of the Voting Rights Act our work to ensure access to the ballot isn’t over. Congress must pass the John R. Lewis Voting Rights Act and we must give states the resources they need to #ProtectTheVote amid the COVID-19 crisis. #VRA55 https://t.co/eWxEkLOrUO,2020-08-06 12:56:33,Twitter for iPhone,24,54,covid; 
@ncdhhs has testing events in Bertie Henderson Hertford Jackson Pitt Wilson and other N.C. counties as part of the initiative to increase access to free COVID-19 testing for communities that currently have limited testing sites. https://t.co/pCbJdE1GO0,2020-08-05 14:37:24,Twitter for iPhone,1,0,covid; 
